,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.45,1.54,1.78,1.44,1.59,1.31,0.32,0.55,0.36,0.31,0.34,0.58,0.19,0.34,0.26,0.35
e_1,0.91,0.43,1.9,1.81,2.3,1.76,0.53,0.56,0.44,0.37,0.37,0.5,0.29,0.35,0.31,0.92
c_1,1.81,1.42,0.42,2.27,1.53,1.66,0.62,0.52,0.19,0.62,0.42,0.37,0.23,0.31,0.28,0.34
d_1,1.89,2.01,1.96,0.41,1.84,1.93,0.42,0.29,0.7,0.31,0.28,0.31,0.22,0.35,0.14,0.31
b_1,2.76,1.92,0.96,2.25,0.38,1.92,0.67,0.66,0.46,0.65,1.09,0.44,0.33,0.51,0.34,0.33
a_1,2.43,2.57,2.68,2.29,1.23,0.32,0.74,0.82,0.66,0.5,0.55,0.74,0.46,1.24,0.43,0.54
h_1,2.74,2.81,2.92,2.61,2.66,2.65,0.33,0.88,0.6,0.68,0.64,0.59,0.68,0.54,0.42,0.63
g_1,3.29,3.61,3.15,2.89,3.22,3.15,0.73,0.3,0.65,0.59,0.57,0.6,0.33,0.6,0.56,0.67
d_0,3.19,1.73,3.1,5.98,3.25,3.01,1.05,0.97,0.38,0.59,0.7,0.66,0.51,0.78,0.55,0.68
c_0,3.62,3.27,7.67,1.76,3.57,2.85,0.98,1.04,0.98,0.36,0.65,0.63,0.55,0.99,0.45,0.75
b_0,3.35,3.38,5.83,2.83,7.51,3.77,0.96,0.88,0.73,0.32,0.33,0.57,0.47,0.57,0.37,0.54
f_0,6.64,3.64,3.52,2.78,3.57,4.09,1.14,0.64,0.75,0.66,0.71,0.32,0.55,0.6,0.3,0.65
h_0,4.23,3.52,3.69,3.68,3.23,3.21,1.54,1.02,0.71,0.63,0.66,0.62,0.82,0.73,0.52,0.6
a_0,3.84,3.49,4.61,3.7,7.39,8.91,1.11,0.97,0.73,0.59,0.4,0.71,0.53,0.31,0.54,0.79
g_0,4.7,4.8,4.48,3.47,4.12,4.3,0.93,1.72,1.01,0.7,0.8,0.81,0.5,0.85,0.99,0.79
e_0,7.53,5.48,4.47,3.95,4.48,5.68,1.54,0.95,0.89,0.74,0.85,0.38,0.56,0.66,0.52,0.28
