,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.95,0.52,0.45,0.37,0.35,0.27,0.33,0.24,0.48,0.2,0.29,0.26,0.24,0.24,0.23,0.24
f_1,0.45,0.95,0.69,0.44,0.36,0.29,0.25,0.28,0.23,0.25,0.23,0.16,0.19,0.24,0.13,0.2
e_1,0.43,0.44,0.94,0.58,0.41,0.29,0.34,0.25,0.31,0.48,0.29,0.28,0.21,0.23,0.15,0.24
c_1,0.49,0.46,0.38,0.94,0.7,0.26,0.35,0.26,0.19,0.23,0.25,0.26,0.21,0.28,0.21,0.22
b_1,0.5,0.55,0.45,0.4,0.94,0.51,0.3,0.29,0.25,0.32,0.17,0.27,0.19,0.29,0.22,0.26
a_1,0.66,0.6,0.48,0.57,0.39,0.94,0.36,0.38,0.37,0.3,0.29,0.31,0.15,0.36,0.22,0.23
h_1,0.77,0.93,0.65,0.64,0.64,0.42,0.77,0.52,0.4,0.37,0.43,0.41,0.31,0.32,0.36,0.44
g_1,1.06,0.66,0.82,0.68,0.62,0.41,0.47,0.76,0.49,0.39,0.46,0.6,0.33,0.34,0.38,0.25
c_0,0.72,0.92,0.76,0.62,0.63,0.51,0.62,0.48,0.67,0.55,0.71,0.44,0.47,0.4,0.37,0.38
d_0,0.56,0.76,0.62,1.31,0.65,0.5,0.56,0.44,0.39,0.68,0.43,0.48,0.32,0.43,0.34,0.43
b_0,0.76,0.97,0.74,0.87,0.56,0.41,0.59,0.48,0.47,0.55,0.68,0.55,0.65,0.5,0.44,0.5
f_0,0.97,0.7,0.72,0.82,0.74,0.5,0.6,0.42,0.53,0.46,0.47,0.66,0.38,0.48,0.59,0.39
a_0,0.86,0.97,0.83,0.93,0.81,0.44,0.62,0.51,0.51,0.52,0.39,0.55,0.64,0.56,0.4,0.48
h_0,0.96,1.16,0.92,0.73,0.71,0.42,0.48,0.68,0.61,0.55,0.45,0.41,0.39,0.35,0.37,0.48
e_0,0.92,1.14,0.68,0.83,0.74,0.58,0.68,0.56,0.55,0.52,0.46,0.44,0.53,0.53,0.63,0.46
g_0,1.2,0.88,0.76,0.94,0.66,0.58,0.62,0.47,0.62,0.48,0.44,0.67,0.38,0.43,0.44,0.42
