,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.05,2.38,2.12,2.08,1.93,1.58,0.69,0.49,0.66,0.91,0.62,0.51,0.49,0.36,0.49,0.43
e_1,2.02,1.06,1.35,2.45,2.01,1.71,1.06,0.93,0.64,0.81,0.7,0.62,0.5,0.48,0.59,0.84
f_1,2.1,2.44,1.06,2.07,1.81,1.78,0.66,0.74,0.55,0.58,0.59,0.8,0.36,0.45,0.49,0.51
c_1,2.73,1.87,2.23,1.06,2.52,1.85,0.95,0.92,0.91,0.42,0.52,0.53,0.5,0.55,0.5,0.62
b_1,2.51,2.51,3.03,1.51,1.06,2.63,0.85,0.88,0.93,0.84,1.09,0.79,0.61,0.62,0.56,0.58
a_1,3.69,3.23,3.56,3.68,1.83,1.07,1.42,1.22,1.07,1.11,1.34,1.14,0.97,0.67,2.25,0.91
h_1,5.44,4.81,5.85,5.33,5.94,4.66,1.31,2.39,1.67,1.54,1.55,1.56,1.58,1.39,1.53,1.4
g_1,7.34,6.27,6.88,6.08,6.34,5.34,1.8,1.33,1.84,1.89,1.81,1.86,1.13,1.75,1.68,1.62
c_0,4.28,6.2,7.85,11.1,6.52,5.18,2.37,2.77,1.48,2.54,2.3,1.8,1.75,1.38,1.97,1.71
d_0,7.66,4.15,7.08,8.05,6.7,5.62,2.69,3.48,1.85,1.5,1.77,1.81,1.54,1.52,1.98,1.87
b_0,5.91,6.48,7.15,11.68,8.52,5.38,2.79,2.74,1.28,2.41,1.48,1.87,1.61,1.5,2.68,1.69
f_0,7.62,7.41,9.56,9.86,7.94,6.09,3.05,2.42,2.55,2.65,2.6,1.53,2.19,1.19,2.07,2.39
h_0,8.21,9.34,10.7,8.16,8.2,6.36,4.21,3.74,2.37,2.62,2.49,2.2,2.56,2.2,1.91,2.18
g_0,9.86,10.27,11.72,10.04,9.34,9.89,2.94,4.8,3.01,2.96,2.82,3.32,1.74,2.74,2.62,2.68
a_0,10.11,10.09,11.32,10.54,14.4,8.99,3.69,3.35,2.54,3.08,1.63,2.78,2.96,2.14,1.58,2.61
e_0,11.81,11.76,12.95,8.84,10.14,8.96,3.75,3.27,3.12,3.14,3.18,1.86,2.4,2.13,2.97,1.6
