,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.92,0.79,0.65,0.98,0.66,0.75,0.97,1.63,0.95,0.81,0.96,0.97,1.0,0.78,0.94,1.04
f_1,1.22,2.04,0.66,0.74,0.75,0.61,0.82,0.92,0.79,0.9,1.05,0.53,0.94,0.68,1.04,0.8
d_1,0.74,0.79,2.34,0.6,0.63,0.59,1.01,0.61,1.01,1.78,1.23,1.08,1.07,1.23,1.17,1.01
c_1,0.61,0.76,0.77,2.33,1.39,0.72,0.91,0.74,0.89,0.47,0.7,0.92,0.89,0.85,0.83,0.93
b_1,0.73,0.71,0.75,0.74,2.47,1.49,0.93,0.93,0.92,0.8,0.6,1.03,1.1,0.87,0.68,0.96
a_1,0.7,0.86,0.88,0.79,0.69,3.61,1.04,0.93,0.96,1.06,0.95,1.09,0.95,0.95,0.55,1.1
h_1,0.8,1.07,0.85,0.83,0.79,0.7,2.09,0.93,1.31,0.98,1.04,0.85,0.77,1.14,0.91,1.37
d_0,0.75,0.84,0.59,1.48,0.8,0.74,1.03,1.61,0.93,0.76,0.91,1.17,1.03,1.03,1.09,1.08
g_1,0.75,0.7,1.38,0.69,0.74,0.73,0.9,0.84,2.47,1.11,1.16,1.69,1.11,1.2,1.19,0.89
c_0,0.93,0.95,1.0,0.63,0.64,0.66,1.14,0.94,1.17,1.79,2.01,1.21,1.15,1.32,1.51,1.06
b_0,1.03,0.92,1.03,0.8,0.43,0.62,1.1,1.09,1.07,1.21,1.98,1.12,1.23,1.32,2.56,1.01
f_0,0.75,0.76,1.04,0.76,0.86,0.78,1.34,1.06,1.17,1.1,1.11,1.98,1.12,2.46,0.86,1.22
h_0,0.81,1.14,0.98,0.81,0.71,0.68,0.76,0.99,1.38,1.02,1.08,1.17,0.74,1.14,1.2,1.52
e_0,0.61,1.16,0.85,0.85,0.71,0.74,1.26,1.08,1.0,1.19,1.04,1.25,1.18,2.78,1.11,1.2
a_0,0.84,1.02,1.02,0.8,0.66,0.34,1.1,1.08,1.25,1.16,1.2,1.18,1.09,1.4,2.5,1.1
g_0,0.73,0.77,1.32,0.92,0.88,0.76,1.02,0.73,0.84,1.1,1.01,1.68,0.91,1.13,0.96,0.93
