,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.52,1.36,1.61,1.93,1.66,0.36,0.34,0.31,0.66,0.31,0.65,0.19,0.34,0.36,0.3
e_1,0.95,0.43,1.98,1.75,2.02,2.07,0.53,0.36,0.35,0.53,0.31,0.44,0.23,0.38,0.78,0.26
d_1,1.75,2.03,0.41,2.13,1.76,1.51,0.43,0.73,0.36,0.29,0.36,0.31,0.23,0.3,0.31,0.16
c_1,1.68,1.52,2.03,0.41,1.88,2.01,0.54,0.21,0.73,0.48,0.36,0.34,0.28,0.31,0.32,0.3
b_1,2.2,1.97,1.92,1.04,0.4,1.68,0.65,0.42,0.5,0.62,0.99,0.37,0.3,0.42,0.34,0.28
a_1,2.61,2.52,2.32,2.63,1.0,0.34,0.94,0.65,0.47,0.77,0.62,0.56,0.35,1.27,0.56,0.37
h_1,3.53,2.68,3.19,2.84,2.6,2.16,0.31,0.56,0.6,0.84,0.67,0.57,0.65,0.59,0.55,0.4
d_0,2.81,1.74,6.18,3.69,3.29,2.57,0.87,0.37,0.71,0.85,0.73,0.69,0.47,0.61,0.77,0.51
c_0,3.18,3.93,1.52,5.15,3.51,2.76,0.93,1.38,0.37,0.99,0.73,0.6,0.42,0.65,0.58,0.47
g_1,4.24,3.47,3.52,3.41,3.17,2.85,0.68,0.78,0.71,0.28,0.7,0.67,0.38,0.57,0.73,0.57
b_0,3.9,3.42,2.7,5.35,5.87,3.15,0.85,0.83,0.37,0.98,0.33,0.63,0.5,0.51,0.64,0.57
f_0,8.83,3.59,3.07,4.26,3.52,2.95,1.05,0.87,0.84,0.62,0.64,0.31,0.51,0.54,0.74,0.3
h_0,4.02,3.91,3.45,4.6,3.65,3.26,1.86,0.89,0.78,0.93,0.91,0.77,1.07,0.79,0.7,0.63
a_0,4.35,3.58,3.89,4.46,6.08,7.17,1.22,0.96,0.89,1.06,0.43,0.8,0.69,0.32,1.04,0.59
e_0,8.31,6.43,3.79,4.01,5.41,3.28,1.1,1.04,0.73,0.89,0.75,0.39,0.71,0.84,0.29,0.55
g_0,5.13,4.56,4.04,5.15,5.04,3.19,0.91,1.01,0.88,1.72,0.9,0.82,0.49,0.78,1.01,0.89
