,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,12.52,0.68,1.01,0.46,0.61,0.59,0.87,2.51,0.94,0.95,1.04,0.97,1.04,1.05,0.96,0.74
f_1,1.59,13.16,0.59,0.56,0.51,0.6,0.83,0.8,0.76,0.9,0.51,0.94,0.83,0.9,0.91,0.67
c_1,0.54,0.59,14.18,0.61,1.63,0.62,0.77,0.84,0.75,0.37,0.91,0.66,1.03,0.88,1.0,0.87
d_1,0.57,0.82,0.43,16.87,0.59,0.65,1.03,0.44,0.96,2.42,1.04,1.23,1.13,0.95,1.29,1.01
b_1,0.52,0.6,0.61,0.7,15.04,1.94,0.97,0.78,0.96,0.78,1.02,0.6,0.97,0.81,0.73,0.93
a_1,0.58,0.55,0.65,0.99,0.71,20.62,0.95,0.86,1.04,0.92,1.08,1.01,0.91,0.52,0.88,1.18
h_1,0.62,1.17,0.78,0.89,0.69,0.62,3.59,0.78,1.56,0.99,1.04,0.9,0.8,1.1,1.37,1.09
d_0,0.65,0.7,2.64,0.48,0.7,0.59,1.05,2.14,0.99,0.53,0.99,0.89,1.07,1.24,0.98,1.24
g_1,0.6,0.69,0.79,1.65,0.64,0.64,1.15,0.93,4.46,0.98,2.02,0.99,0.92,0.95,0.76,1.18
c_0,0.88,0.97,0.46,0.98,0.46,0.55,1.34,1.21,1.16,2.73,1.32,3.29,1.15,1.47,1.23,1.21
f_0,0.59,0.62,0.97,0.86,0.74,0.53,1.28,1.06,1.12,1.07,2.46,1.3,1.48,1.16,1.27,2.88
b_0,0.77,1.04,0.83,0.73,0.45,0.43,1.3,1.44,1.05,1.19,1.08,3.59,1.18,3.62,1.03,1.27
h_0,0.7,1.2,0.64,1.0,0.76,0.67,0.75,0.92,1.47,1.15,0.97,1.16,0.73,1.13,1.56,1.15
a_0,0.78,0.86,0.96,0.69,0.67,0.47,1.42,1.35,1.11,0.97,1.26,1.31,1.18,3.69,1.04,1.41
g_0,0.62,0.63,0.6,1.64,0.75,0.6,1.21,0.88,0.9,1.41,2.28,1.3,1.03,1.01,0.93,1.49
e_0,0.49,0.94,0.91,1.15,0.74,0.47,1.26,0.99,1.21,1.08,0.97,1.05,1.37,1.39,1.23,3.68
