,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,14.9,1.31,0.47,0.55,0.49,0.47,0.91,0.8,0.77,0.79,0.35,0.85,0.79,0.68,0.65,0.74
e_1,0.58,15.13,0.75,0.46,0.49,0.58,0.8,2.08,0.9,0.93,1.09,1.04,1.17,0.63,0.97,0.77
c_1,0.61,0.39,17.81,0.59,1.4,0.55,0.8,0.66,0.72,0.25,0.81,0.65,0.93,0.69,0.9,1.09
d_1,0.53,0.53,0.41,20.56,0.51,0.52,0.94,0.38,1.05,2.56,1.35,1.17,0.92,1.17,0.98,0.98
b_1,0.61,0.47,0.52,0.52,20.51,1.39,0.81,0.91,0.84,0.67,0.82,0.35,1.01,0.9,0.94,1.03
a_1,0.59,0.46,0.76,0.69,0.49,27.6,0.79,1.06,0.7,0.75,0.9,0.85,1.13,1.12,0.53,0.92
h_1,1.3,0.62,0.89,0.65,0.61,0.58,5.1,0.94,1.71,1.13,0.97,1.29,0.59,0.9,1.02,1.71
d_0,0.82,0.63,1.71,0.38,0.81,0.72,1.32,2.79,0.96,0.95,1.39,1.09,1.06,0.97,1.05,1.35
g_1,0.7,0.55,0.64,1.64,0.58,0.63,1.1,0.84,6.31,1.11,2.13,1.24,0.94,1.39,1.33,0.68
c_0,0.64,0.87,0.45,0.84,0.55,0.53,1.38,1.12,1.5,3.27,1.41,3.4,1.26,1.61,1.61,1.22
f_0,0.35,0.49,0.83,0.98,0.8,0.93,1.37,1.19,1.17,1.52,3.62,1.33,1.17,3.85,1.18,1.5
b_0,0.79,0.79,0.84,0.76,0.37,0.6,1.33,1.09,1.51,1.2,1.21,4.23,1.36,1.32,3.17,1.53
h_0,1.24,0.62,0.79,0.76,0.7,0.77,0.88,1.13,1.54,0.96,1.0,1.36,0.81,1.27,1.26,1.73
e_0,0.55,0.44,0.89,0.81,0.82,0.7,1.66,1.6,1.35,1.33,1.39,1.67,1.7,4.96,1.81,1.66
a_0,1.04,0.58,0.92,0.91,0.65,0.39,1.22,1.18,1.0,1.1,1.29,1.36,1.36,1.23,5.16,1.46
g_0,0.39,0.66,0.73,1.45,0.76,0.69,1.36,0.73,0.76,1.25,2.24,1.36,1.24,1.52,1.19,0.85
