,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.16,0.76,0.79,0.63,0.64,0.61,0.18,0.38,0.13,0.12,0.13,0.11,0.1,0.12,0.12,0.06
f_1,0.56,0.16,0.62,0.75,0.69,0.5,0.13,0.16,0.14,0.23,0.14,0.28,0.07,0.13,0.13,0.11
e_1,0.75,0.36,0.16,0.73,0.77,0.7,0.21,0.16,0.14,0.26,0.16,0.17,0.11,0.14,0.21,0.14
c_1,0.93,0.63,0.55,0.15,0.6,0.61,0.18,0.07,0.23,0.19,0.13,0.12,0.1,0.13,0.15,0.1
b_1,0.72,0.83,0.67,0.34,0.13,0.93,0.2,0.14,0.17,0.17,0.35,0.12,0.1,0.16,0.12,0.1
a_1,0.62,0.75,0.71,0.94,0.34,0.1,0.18,0.12,0.14,0.21,0.18,0.2,0.09,0.31,0.17,0.1
h_1,0.46,0.49,0.6,0.54,0.51,0.49,0.06,0.12,0.1,0.16,0.1,0.11,0.12,0.1,0.1,0.09
d_0,1.01,0.5,0.27,0.57,0.49,0.54,0.18,0.06,0.12,0.19,0.13,0.15,0.09,0.11,0.12,0.11
c_0,0.28,0.54,0.57,0.93,0.64,0.55,0.16,0.15,0.06,0.17,0.1,0.09,0.08,0.1,0.09,0.08
g_1,0.5,0.54,0.53,0.59,0.56,0.52,0.13,0.12,0.11,0.05,0.11,0.1,0.05,0.1,0.1,0.11
b_0,0.41,0.55,0.54,0.82,0.81,0.5,0.16,0.1,0.06,0.13,0.05,0.09,0.07,0.09,0.12,0.07
f_0,0.48,0.9,0.54,0.54,0.54,0.48,0.15,0.13,0.09,0.09,0.1,0.05,0.08,0.11,0.1,0.05
h_0,0.52,0.51,0.49,0.52,0.56,0.44,0.23,0.11,0.1,0.14,0.09,0.11,0.12,0.09,0.08,0.08
a_0,0.4,0.59,0.51,0.5,0.86,1.0,0.16,0.09,0.08,0.21,0.06,0.1,0.07,0.04,0.09,0.08
e_0,0.45,0.77,0.8,0.49,0.54,0.58,0.13,0.13,0.11,0.13,0.11,0.05,0.07,0.09,0.04,0.06
g_0,0.52,0.61,0.49,0.54,0.57,0.51,0.12,0.1,0.1,0.19,0.1,0.11,0.05,0.11,0.07,0.09
