,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,115.27,59.14,80.13,55.24,103.14,262.13,8749.02,27793.61,19213.04,16555.64,33262.21,39278.51,100962.39,125936.17,115560.29,154895.69
f_1,81.52,127.4,60.7,70.01,90.15,201.81,6441.26,14290.39,15304.23,16153.63,27251.58,21579.88,93004.31,119312.53,71918.57,148196.45
c_1,46.48,59.28,129.7,64.57,179.41,216.34,7144.38,13287.76,9020.68,13507.24,20027.93,32010.98,95394.08,105230.66,103126.29,146215.68
d_1,62.41,57.62,56.26,131.52,121.58,214.38,7096.21,10785.57,25081.58,14258.14,31629.9,33027.63,99999.3,89490.86,102476.71,121737.18
b_1,43.25,61.86,43.08,51.24,200.23,366.89,6374.42,11783.53,16681.75,13084.25,14104.63,24999.52,81442.61,73213.11,81976.55,110290.73
a_1,34.49,45.99,41.8,47.07,46.3,396.53,5885.29,10791.87,9271.03,9505.46,19943.16,22834.39,66484.27,45441.89,85140.02,92601.59
h_1,14.16,22.18,18.18,18.94,27.28,55.86,3265.56,4213.98,4559.53,5687.54,7354.43,8609.58,22193.28,26380.65,32775.56,48593.4
d_0,10.13,14.42,23.64,11.29,24.81,54.37,1613.33,4864.36,3048.26,3341.56,6802.04,7609.49,24574.01,21601.95,27273.39,35731.61
c_0,12.47,16.75,13.42,12.94,15.33,58.12,1710.8,3841.89,5089.77,3436.15,10736.3,6617.88,25869.57,29640.02,27622.26,33218.55
g_1,11.24,10.68,14.82,20.88,19.82,52.96,1434.73,3227.89,3726.91,5781.67,6431.29,9330.37,20337.61,18556.9,23822.37,22334.8
b_0,10.01,12.09,14.68,12.16,15.83,35.51,1521.85,3052.07,2816.54,2951.28,7953.91,5854.88,18956.76,34535.0,21056.6,28268.64
f_0,8.05,9.77,12.92,11.77,21.4,40.83,1434.11,3078.06,2970.8,2714.2,5403.63,8522.03,18633.04,18818.95,34065.22,22721.67
h_0,6.53,10.8,9.38,8.76,13.77,30.29,765.49,1969.25,1926.38,2409.4,3881.79,3876.89,11158.91,13733.61,13955.22,24425.75
a_0,6.33,7.45,7.9,8.81,14.32,22.92,1016.85,2036.07,1810.34,2266.83,2933.23,4150.88,15418.24,21051.9,12930.46,17619.31
e_0,4.11,9.69,7.76,8.29,13.96,27.1,1027.3,1769.88,2103.23,1921.92,3760.36,3450.34,12782.93,13974.58,21700.4,17281.13
g_0,5.21,6.69,7.38,10.4,13.29,25.73,858.62,1490.26,1870.46,1800.18,3290.61,5157.98,9144.91,14437.32,15656.4,15189.97
