,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11006.22,2803.0,4508.88,3041.43,4985.45,33016.66,3853146.86,15098682.65,10920214.34,8721230.46,22690262.69,37297238.73,88344490.15,127039138.18,82220322.3,270316589.58
f_1,4415.28,12575.05,2958.0,3521.88,3900.06,37064.7,3115693.1,7867198.62,12285978.49,9116748.31,25609206.04,12221346.37,71962673.51,102583875.32,139143360.42,266160314.63
c_1,1925.12,2738.32,18232.26,4313.42,8567.92,25569.78,2969443.8,6644837.87,4194757.31,10503873.99,18972394.49,29574675.2,65585621.69,116916980.63,145697195.36,217423047.05
d_1,2278.47,3008.92,2742.27,19324.05,4947.73,29391.0,4015637.74,3461985.2,22051209.98,13980941.09,33467308.75,30912439.91,94725668.62,144103461.39,197514834.66,240507974.11
b_1,2393.79,2615.59,4716.62,4020.86,25825.23,52559.57,3506585.45,7548801.04,11206251.38,9615114.99,8050619.82,26958688.56,54241914.86,118561422.54,139742764.52,250600204.22
a_1,2387.22,2609.62,4089.29,4167.91,4662.91,271483.12,4111439.65,9064255.19,11350372.38,11384240.01,27350471.41,28020776.29,57239539.13,120962775.84,185933221.66,365872680.11
h_1,2515.47,4756.51,3960.17,4830.83,5892.39,34363.66,12563841.96,9195994.24,14829679.54,19226078.74,34147139.16,37793474.77,105434554.51,92415262.49,206983853.44,357435876.87
d_0,3049.23,3768.47,7948.94,2389.79,6225.3,31968.03,3883255.58,21319573.99,12906484.62,14006909.83,24136384.02,37622504.29,103580360.62,168207257.89,167755485.02,273222413.13
c_0,3000.14,3851.74,2578.63,5729.77,4820.83,34153.87,4477181.72,9445616.24,32179802.82,16872228.66,66451346.76,47929087.44,120793423.46,164305013.81,162973157.93,277885783.75
g_1,2848.12,2696.98,4443.06,7372.38,5465.71,34137.08,3798723.54,6446355.7,14312880.73,53320755.41,31569181.99,60748363.95,105520976.27,155492137.3,225985649.82,143425089.56
b_0,2574.72,3472.7,4758.9,5319.67,3061.3,43570.13,4706075.02,9032592.09,18022249.0,15683509.75,77422709.06,44433823.6,221266457.92,142137752.97,219493157.98,349881157.4
f_0,2413.67,2173.34,5042.32,4951.17,6205.51,41521.45,5077785.97,11727859.95,17152961.19,15002867.37,39974914.06,100733099.08,125005767.79,213655529.76,387851865.95,291804232.56
a_0,2979.55,3896.65,4980.61,5323.79,4850.26,23848.53,4356923.26,11844207.77,19168046.47,12601418.3,33726183.35,35766597.0,276531726.54,139652271.66,210627133.59,251811261.31
h_0,2914.39,4727.47,4407.19,5047.31,6056.06,35318.21,1800482.8,10169269.3,16487784.87,21426654.02,32113685.7,35900619.76,89679965.9,119760358.27,210584582.65,457279076.35
e_0,1669.14,3815.15,4322.6,5717.21,6071.61,31807.04,5146774.84,10251127.19,18869129.56,16539873.28,36653063.83,38843293.51,118983288.09,193659671.91,631979939.77,392648857.99
g_0,2707.57,3309.23,4479.78,8163.48,5317.52,35789.12,4321158.72,8039704.67,17024596.47,8284972.89,28627056.96,64267994.72,96405963.34,161057033.54,195972591.2,234291302.04
