,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.17,0.44,0.24,0.23,0.16,0.15,0.45,0.29,0.48,0.4,0.39,0.08,0.55,0.34,0.21,0.45
e_1,0.28,2.21,0.17,0.25,0.21,0.14,0.39,0.23,0.43,0.95,0.44,0.42,0.62,0.43,0.1,0.57
d_1,0.23,0.24,2.39,0.19,0.19,0.2,0.44,0.41,0.89,0.09,0.49,0.44,0.54,0.35,0.32,0.58
c_1,0.25,0.21,0.23,2.44,0.4,0.16,0.35,0.35,0.08,0.47,0.36,0.42,0.6,0.35,0.42,0.4
b_1,0.25,0.22,0.21,0.27,2.56,0.29,0.33,0.39,0.45,0.42,0.11,0.41,0.54,0.28,0.34,0.48
a_1,0.24,0.19,0.2,0.18,0.25,3.1,0.48,0.45,0.5,0.59,0.55,0.42,0.55,0.15,0.27,0.56
h_1,0.58,0.4,0.34,0.38,0.32,0.25,2.93,0.89,0.77,0.7,0.85,0.61,0.44,0.84,0.67,1.13
g_1,0.33,0.33,0.68,0.3,0.35,0.3,0.46,3.2,1.04,0.48,0.93,1.38,0.85,0.65,0.68,0.38
c_0,0.54,0.36,0.47,0.17,0.28,0.26,0.8,0.72,2.27,0.95,1.59,1.05,1.07,0.67,0.66,1.15
d_0,0.48,0.41,0.1,0.78,0.34,0.22,0.8,0.54,0.56,2.25,0.78,0.5,1.21,0.58,0.67,0.82
b_0,0.49,0.45,0.46,0.33,0.14,0.22,0.87,0.79,0.97,0.75,2.54,0.88,1.05,1.13,0.83,0.82
f_0,0.19,0.35,0.43,0.3,0.34,0.48,0.75,0.76,0.79,0.93,1.07,2.77,1.37,0.82,2.14,0.88
h_0,0.67,0.37,0.39,0.34,0.35,0.27,,0.66,0.7,0.59,0.73,0.66,0.27,0.64,0.74,0.91
a_0,0.53,0.38,0.48,0.55,0.31,,0.58,0.45,0.91,0.78,0.82,0.66,1.25,2.74,0.48,0.85
e_0,0.45,0.13,0.58,0.36,0.27,0.28,0.76,1.05,0.85,1.12,0.92,0.94,1.21,1.19,3.3,0.74
g_0,0.39,0.34,0.7,0.4,0.29,0.23,0.72,0.34,0.65,0.69,0.81,1.02,0.95,0.67,0.89,
