,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.77,1.23,0.95,1.12,1.02,0.5,0.45,0.35,0.35,0.46,0.47,0.33,0.35,0.5,0.39
f_1,1.13,0.66,1.05,0.99,0.98,0.8,0.35,0.44,0.35,0.34,0.43,0.39,0.25,0.36,0.31,0.32
c_1,0.89,1.14,0.64,1.45,1.21,0.92,0.48,0.26,0.47,0.37,0.45,0.37,0.32,0.34,0.39,0.29
d_1,1.38,1.15,1.0,0.63,1.05,1.06,0.49,0.57,0.45,0.44,0.35,0.38,0.31,0.37,0.33,0.22
b_1,1.15,1.26,0.78,1.27,0.62,1.47,0.57,0.46,0.5,0.66,0.53,0.49,0.38,0.45,0.39,0.32
a_1,1.39,1.75,1.39,1.33,0.75,0.57,0.66,0.56,0.59,0.7,0.59,0.49,0.46,0.7,0.52,0.45
h_1,1.7,2.1,1.71,1.67,1.64,1.37,0.55,0.64,0.62,0.61,0.74,0.63,0.55,0.55,0.56,0.53
d_0,1.31,1.81,2.28,2.32,1.76,1.66,0.99,0.58,0.65,0.67,0.97,0.66,0.6,0.59,0.72,0.64
c_0,2.26,2.2,2.71,1.24,1.94,1.46,0.88,0.96,0.56,0.75,0.84,0.72,0.6,0.67,0.62,0.52
b_0,2.06,2.28,3.04,1.7,2.36,1.56,0.92,0.82,0.52,0.54,0.87,0.67,0.61,0.83,0.68,0.66
g_1,2.16,2.34,2.28,2.06,2.18,1.76,0.79,0.78,0.68,0.7,0.5,0.7,0.45,0.63,0.59,0.65
f_0,1.92,3.03,2.48,2.01,2.1,1.82,0.93,0.85,0.73,0.77,0.7,0.52,0.63,0.69,0.84,0.41
h_0,2.29,2.66,2.25,2.13,2.11,1.6,1.28,0.86,0.77,0.85,1.05,0.76,0.75,0.84,0.67,0.66
a_0,2.27,2.32,2.77,2.1,2.49,2.13,1.17,1.03,0.75,0.47,0.94,0.86,0.67,0.53,0.74,0.69
e_0,2.58,2.78,2.28,2.31,2.12,2.03,1.04,0.89,0.93,0.89,1.03,0.48,0.76,0.85,0.53,0.65
g_0,2.4,2.58,2.58,2.58,2.61,1.98,0.96,0.85,0.86,0.77,1.1,0.93,0.58,0.81,0.75,0.76
