,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.54,1.41,0.94,1.04,0.91,0.72,1.04,1.02,1.23,1.02,1.08,0.86,1.01,1.1,1.09,0.76
e_1,0.99,1.54,0.95,1.18,0.9,0.83,1.36,1.11,1.73,1.21,1.28,1.2,1.19,1.26,1.19,0.94
d_1,1.13,1.04,1.56,0.89,0.88,0.85,1.21,1.03,0.96,1.8,1.43,1.24,1.07,1.22,1.13,1.08
c_1,1.04,0.97,1.05,1.58,1.49,0.94,1.03,0.97,1.01,0.89,0.83,0.99,0.98,1.27,1.09,0.9
b_1,1.06,1.03,1.18,0.89,1.63,1.45,1.18,1.13,1.16,1.16,0.97,1.13,0.86,1.29,1.18,0.96
a_1,1.2,1.07,1.18,1.04,0.93,1.75,1.36,1.26,1.28,1.25,1.22,1.27,0.95,1.73,1.32,1.07
h_1,1.59,1.22,1.26,1.32,1.07,0.92,1.86,1.61,1.55,1.43,1.48,1.34,1.2,1.45,1.69,1.35
g_1,1.22,1.28,1.69,1.32,1.1,1.08,1.25,1.92,1.28,1.48,1.41,1.73,1.16,1.48,1.5,1.22
d_0,1.32,1.12,1.15,1.97,1.34,1.02,1.43,1.49,1.82,1.09,1.35,1.35,1.41,1.66,1.52,1.28
c_0,1.5,1.43,1.16,1.36,1.05,0.99,1.56,1.54,1.8,1.86,2.47,1.57,1.61,1.72,1.52,1.38
b_0,1.56,1.3,1.31,1.5,1.15,0.88,1.49,1.62,1.62,1.31,1.88,1.3,2.21,1.91,1.66,1.23
f_0,1.36,1.32,1.37,1.51,1.3,1.12,1.65,1.39,1.72,1.48,1.6,1.92,1.39,1.72,1.51,2.3
a_0,1.61,1.37,1.43,1.45,1.25,0.98,1.76,1.68,1.62,1.46,1.5,1.55,1.96,1.7,1.72,1.21
h_0,1.77,1.47,1.47,1.38,1.22,0.87,1.27,1.82,1.45,1.45,1.4,1.47,1.29,1.51,1.95,1.26
g_0,1.51,1.36,1.74,1.43,1.27,1.19,1.6,1.33,1.56,1.56,1.45,1.94,1.42,1.67,1.5,1.47
e_0,1.72,1.42,1.45,1.59,1.24,1.15,1.51,1.69,1.43,1.63,1.76,1.15,1.55,1.9,1.7,1.99
