,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.36,1.75,1.01,0.96,0.93,0.72,1.73,1.42,1.83,2.3,1.74,1.46,2.77,1.93,2.23,1.09
e_1,1.12,2.41,0.97,1.28,0.96,0.85,1.84,1.64,1.96,3.66,2.17,2.12,2.65,1.82,2.41,1.41
d_1,1.21,1.05,2.42,0.79,0.93,0.94,1.97,2.05,3.7,1.76,2.54,2.03,2.88,1.75,2.68,1.72
c_1,1.03,0.92,1.06,2.55,1.66,0.83,1.83,1.59,1.45,1.96,1.37,2.11,2.33,1.35,2.42,1.76
b_1,1.05,1.01,1.09,0.99,2.62,1.56,2.03,1.78,2.11,2.2,1.54,1.9,3.04,1.51,2.36,1.78
a_1,1.26,1.04,1.13,1.09,1.0,3.09,2.14,1.85,1.99,2.19,2.34,2.09,2.67,1.38,2.62,2.12
h_1,1.38,1.0,1.36,1.06,0.85,0.85,3.54,2.34,2.23,2.08,2.57,2.19,2.29,2.13,3.53,2.13
g_1,1.09,1.05,1.62,0.99,1.01,0.87,1.92,3.74,2.58,1.77,2.44,3.04,2.75,2.05,2.28,1.89
c_0,1.24,1.14,1.28,0.94,0.9,0.96,2.11,2.13,3.48,2.28,4.05,2.6,3.17,2.56,3.39,2.07
d_0,1.15,1.13,0.92,1.91,1.18,0.82,1.81,1.95,1.47,3.16,2.12,2.01,2.41,1.64,2.53,2.01
b_0,1.23,1.08,1.26,1.14,0.97,0.78,2.35,2.32,2.48,2.23,3.66,2.68,3.25,4.03,3.21,2.17
f_0,1.07,0.95,1.24,1.2,1.04,1.09,2.43,2.17,2.54,2.19,2.43,3.62,3.02,2.2,3.07,3.96
h_0,1.48,1.19,1.18,1.01,1.0,0.89,1.67,2.47,2.22,2.12,2.15,2.28,2.24,2.27,3.49,1.46
a_0,1.28,1.03,1.33,1.1,1.08,0.68,2.42,2.41,2.49,2.28,2.5,2.08,3.38,3.93,3.05,2.04
g_0,1.11,0.97,1.64,1.05,0.99,0.95,2.26,1.79,2.41,1.96,2.42,3.11,2.8,2.07,2.24,2.4
e_0,1.25,0.81,1.28,1.15,1.05,0.98,2.41,2.25,2.47,1.84,2.37,2.73,3.15,2.2,2.94,3.96
