,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,13.1,11.32,15.74,10.62,11.07,2.27,3.97,3.19,2.71,2.19,,2.85,1.29,,1.99
e_1,7.86,0.17,13.13,12.52,14.04,13.88,3.76,4.61,2.59,2.37,2.08,2.52,3.43,1.93,,1.62
d_1,14.23,19.43,0.16,12.53,12.47,11.36,3.14,1.93,2.39,,2.55,2.21,2.27,1.95,2.63,1.21
c_1,14.78,11.9,13.25,0.16,12.22,15.46,3.84,2.89,,1.32,3.23,2.24,2.65,1.98,2.45,1.6
b_1,14.87,8.88,13.25,6.39,0.15,12.12,3.39,4.23,2.81,2.44,,3.97,3.0,2.02,3.73,1.77
a_1,11.07,14.58,12.35,11.6,8.21,0.1,5.99,4.72,2.28,2.46,3.4,2.35,,1.99,,1.58
h_1,3.73,3.31,3.33,3.26,3.64,3.88,0.07,1.09,0.64,0.39,0.77,0.81,0.66,,0.55,0.42
g_1,2.92,5.38,3.63,4.87,4.97,3.33,0.59,0.06,0.6,0.94,0.66,0.66,0.94,0.24,0.59,
c_0,2.45,2.59,1.54,,3.14,3.41,0.49,1.01,0.08,0.82,0.51,0.39,0.52,0.32,0.46,0.32
d_0,2.2,1.38,,2.0,2.99,2.0,0.87,1.0,0.58,0.08,0.6,0.49,0.49,0.34,0.41,0.56
b_0,2.53,3.39,2.83,4.08,,4.32,0.77,0.72,0.25,0.49,0.07,0.53,0.41,0.3,0.52,0.27
f_0,,2.62,1.9,2.71,2.83,2.66,0.81,0.33,0.43,0.6,0.44,0.06,0.61,0.57,0.54,0.26
a_0,2.85,2.43,2.47,3.1,2.32,,0.94,0.76,0.48,0.6,0.3,0.53,0.05,0.38,,0.41
h_0,1.56,1.81,1.76,1.42,1.3,1.54,,0.43,0.37,0.38,0.31,0.36,0.23,,0.33,0.31
e_0,,,2.94,3.27,1.79,,0.89,0.55,0.69,0.73,0.6,0.21,,0.28,0.04,0.33
g_0,1.61,1.8,1.75,1.45,1.7,1.42,0.33,,0.48,0.39,0.34,0.47,0.33,0.19,0.31,
