,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,0.91,0.68,0.85,0.79,0.66,0.35,0.36,0.39,0.54,0.39,0.48,0.33,0.25,0.3,0.34
e_1,0.5,0.4,0.89,0.91,0.86,1.01,0.44,0.38,0.45,0.53,0.38,0.45,0.38,0.31,0.61,0.33
d_1,0.97,0.88,0.38,0.81,0.76,0.71,0.45,0.36,0.51,0.29,0.35,0.38,0.35,0.31,0.4,0.23
c_1,0.88,0.7,0.98,0.38,0.97,0.72,0.41,0.45,0.21,0.39,0.33,0.36,0.36,0.29,0.35,0.26
b_1,0.83,0.84,0.85,0.49,0.37,1.07,0.5,0.45,0.37,0.49,0.6,0.33,0.35,0.38,0.33,0.39
a_1,0.99,0.77,0.91,0.98,0.47,0.32,0.52,0.38,0.42,0.46,0.38,0.36,0.48,0.3,0.42,0.31
h_1,0.76,0.69,0.67,0.76,0.8,0.62,0.25,0.33,0.36,0.37,0.32,0.3,0.3,0.39,0.29,0.29
c_0,0.71,0.76,0.47,1.01,0.76,0.73,0.41,0.25,0.42,0.41,0.42,0.34,0.37,0.28,0.31,0.27
d_0,0.73,0.44,1.14,0.91,0.8,0.73,0.37,0.34,0.25,0.42,0.34,0.35,0.32,0.28,0.34,0.32
g_1,0.69,0.65,0.86,0.8,0.72,0.65,0.35,0.3,0.35,0.22,0.32,0.37,0.34,0.23,0.31,0.36
b_0,0.69,0.68,0.64,1.01,0.95,0.69,0.36,0.22,0.39,0.4,0.24,0.36,0.39,0.27,0.3,0.28
f_0,1.08,0.63,0.67,0.66,0.83,0.72,0.4,0.34,0.33,0.26,0.3,0.22,0.39,0.27,0.39,0.2
a_0,0.8,0.73,0.63,0.76,0.92,1.11,0.38,0.26,0.39,0.35,0.2,0.33,0.21,0.3,0.35,0.3
h_0,0.85,0.65,0.69,0.84,0.63,0.67,0.43,0.31,0.35,0.38,0.34,0.3,0.28,0.34,0.28,0.3
e_0,1.06,0.9,0.62,0.72,0.67,0.64,0.4,0.32,0.36,0.36,0.37,0.18,0.34,0.25,0.2,0.25
g_0,0.82,0.68,0.71,0.96,0.59,0.64,0.32,0.3,0.33,0.4,0.3,0.31,0.31,0.22,0.29,0.33
