,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,115.65,74.71,76.54,136.28,137.37,432.04,13276.76,13703.08,36709.19,23758.22,33387.6,49159.4,142332.9,130869.77,177315.46,299225.12
d_1,75.55,126.0,93.79,92.82,120.91,402.8,12781.12,12922.69,19519.91,34072.78,33157.53,46259.22,128543.7,147408.06,180597.87,284052.44
f_1,105.82,72.8,125.73,103.15,118.35,373.11,9994.11,13359.13,23263.1,23028.27,28707.71,39156.14,135533.64,131100.14,154143.24,306333.12
c_1,63.13,82.75,79.29,152.97,182.59,315.49,10949.9,12234.0,16972.33,17153.04,19498.6,32208.97,123834.24,112634.96,151421.63,260029.28
b_1,61.54,71.95,75.9,78.72,180.18,561.21,11941.76,12695.54,20164.7,20815.86,19049.06,37533.68,120526.6,87571.99,144448.52,246828.93
a_1,41.14,54.15,52.34,69.48,67.9,455.54,6979.01,9699.12,14571.4,14864.4,20086.21,29385.68,90361.07,75777.35,117657.18,173574.1
h_1,16.72,20.93,25.61,26.19,28.19,99.71,3889.93,4304.25,5578.0,5572.46,7342.81,10360.29,32640.69,29165.5,43983.3,80159.4
g_1,16.05,25.64,18.63,24.77,28.16,83.53,2413.42,4430.54,4416.98,5753.88,6680.77,12995.38,31174.71,29231.36,46093.09,58149.38
d_0,12.82,15.66,17.25,34.42,27.7,71.51,2439.16,3235.17,5621.66,3761.76,6040.89,8686.22,29776.7,25742.44,36474.86,56492.88
c_0,15.09,16.01,17.72,20.13,22.63,81.3,2630.06,3001.55,5234.4,5804.87,9427.22,10753.24,29941.96,32469.64,43107.83,58630.63
b_0,12.3,15.89,16.63,23.44,24.67,73.45,2330.93,2882.27,4502.17,3800.79,6972.65,10072.78,27326.42,37632.29,37816.14,59709.28
f_0,10.7,14.71,13.75,20.75,20.58,60.36,2318.51,2412.19,4232.29,3672.0,4703.14,9463.64,24904.84,22155.0,53809.8,42812.63
h_0,8.7,11.19,12.81,13.05,16.1,40.68,1253.51,1900.39,2643.45,2711.93,3526.81,4820.87,15159.53,16342.96,21669.63,41238.52
a_0,8.75,9.14,10.46,13.7,17.39,34.05,1588.04,1865.94,2714.79,2551.62,3369.37,5700.8,17594.63,20712.59,22100.51,34913.34
e_0,7.14,9.94,10.06,12.35,13.89,32.43,1390.1,1426.03,2482.31,2435.04,3149.99,3894.31,16339.41,14796.35,27182.99,30569.17
g_0,6.42,9.83,7.93,10.44,12.29,36.56,1146.92,1255.81,2122.48,2313.42,2824.02,5474.7,13777.39,13265.53,20620.25,27038.37
