,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.15,81.46,72.02,96.0,78.32,80.96,13.32,13.53,19.76,17.06,,18.1,7.86,23.2,13.88,17.15
e_1,41.38,1.15,95.32,79.2,85.9,92.0,32.75,16.83,32.6,14.62,16.54,14.68,12.44,,23.13,11.83
c_1,111.97,93.68,1.15,93.18,95.11,65.29,20.68,13.53,38.35,,19.3,14.29,12.11,,20.41,14.91
d_1,95.18,129.21,120.04,1.15,83.22,106.53,32.75,,14.82,15.74,20.68,27.15,13.18,15.13,20.41,7.8
b_1,118.97,138.78,64.82,137.74,1.15,119.06,29.11,22.26,38.35,27.91,23.16,,12.8,,28.92,11.83
a_1,135.96,149.88,120.04,158.4,88.77,1.16,52.4,36.32,43.47,,34.06,,23.58,21.75,,21.44
h_1,100.18,133.82,90.03,83.37,110.96,106.53,2.0,19.71,31.05,20.47,19.97,19.39,,18.32,19.28,11.43
d_0,82.76,48.66,90.03,,83.22,69.79,27.1,2.92,26.08,25.58,19.97,19.39,12.8,13.38,17.35,19.06
g_1,146.42,113.55,140.91,109.24,156.65,144.57,22.46,30.0,2.0,26.7,28.95,20.11,12.11,,28.92,
c_0,118.97,101.27,,56.57,126.81,,19.17,19.17,40.75,3.09,17.55,18.1,13.58,16.57,16.52,12.25
f_0,,129.21,108.03,83.37,133.15,134.93,46.24,17.25,16.3,14.98,2.94,21.72,16.0,24.86,,9.53
b_0,118.97,110.21,135.04,176.0,,,34.17,31.36,31.05,11.37,22.27,3.09,11.49,16.57,21.69,16.33
h_0,97.62,72.06,83.1,113.14,73.97,84.33,,16.83,31.05,19.81,14.85,15.08,,18.32,20.41,13.19
e_0,181.29,,,176.0,,144.57,60.46,53.08,,32.32,17.55,41.77,28.0,3.0,,20.18
a_0,223.94,170.32,190.65,158.4,177.53,,39.3,34.5,43.47,30.7,,21.72,34.46,,2.94,
g_0,122.81,197.21,90.03,126.72,115.78,119.06,28.07,22.26,,34.11,20.68,25.86,15.45,18.32,,
