,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,1.61,1.39,2.17,4.13,25.88,39.16,38.2,57.81,62.83,86.02,106.33,103.18,119.65,188.32
f_1,1.22,1.0,1.36,1.51,1.87,3.31,18.18,30.4,35.3,49.05,55.43,58.7,80.29,107.77,90.58,150.05
c_1,0.61,0.74,1.0,1.47,1.95,2.89,17.98,15.72,25.06,33.33,41.76,45.95,64.56,62.63,94.22,104.09
d_1,0.72,0.66,0.67,1.0,1.18,2.63,15.79,20.08,34.26,45.53,35.71,46.93,63.29,66.37,69.55,78.27
b_1,0.46,0.54,0.52,0.86,1.0,3.21,12.37,17.11,21.18,34.0,28.84,41.98,54.51,53.04,55.68,66.35
a_1,0.24,0.3,0.34,0.38,0.31,1.0,6.19,8.38,12.43,18.04,15.55,17.44,28.5,27.07,31.46,40.27
h_1,0.04,0.06,0.06,0.06,0.08,0.16,1.0,1.1,1.73,2.35,2.65,3.17,3.76,3.97,5.03,6.86
d_0,0.02,0.03,0.06,0.05,0.06,0.13,0.88,1.0,1.14,1.92,2.33,2.31,3.37,3.2,4.27,5.59
c_0,0.03,0.03,0.04,0.03,0.04,0.08,0.57,0.83,1.0,1.78,1.47,1.8,2.41,2.58,2.88,3.23
b_0,0.02,0.02,0.03,0.02,0.03,0.05,0.41,0.53,0.57,1.0,1.04,1.18,1.68,2.59,2.01,2.76
g_1,0.02,0.02,0.02,0.03,0.03,0.07,0.39,0.42,0.64,0.97,1.0,1.35,1.25,1.53,1.69,2.51
f_0,0.01,0.02,0.02,0.02,0.02,0.05,0.34,0.42,0.54,0.82,0.79,1.0,1.43,1.35,2.43,1.66
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.27,0.29,0.4,0.62,0.84,0.68,1.0,1.04,1.12,1.71
a_0,0.01,0.01,0.02,0.01,0.02,0.04,0.27,0.33,0.35,0.38,0.66,0.74,0.96,1.0,1.1,1.53
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.24,0.34,0.51,0.6,0.42,0.93,0.95,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.17,0.28,0.34,0.39,0.6,0.58,0.64,0.8,1.0
