,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.93,1.21,1.06,0.97,0.88,0.85,0.87,0.96,1.01,0.95,0.91,0.95,0.96,0.97,0.89
d_1,1.07,1.0,1.0,0.89,1.0,0.91,1.05,0.86,1.27,1.14,1.02,1.06,0.97,1.12,0.94,0.99
e_1,0.83,1.0,1.0,1.15,1.03,0.9,1.05,1.18,1.05,1.41,1.05,1.14,1.1,0.97,1.11,0.93
c_1,0.93,1.11,0.88,1.0,1.34,1.04,0.99,0.97,0.85,0.69,0.75,0.95,0.92,0.86,0.96,1.02
b_1,1.03,0.99,0.98,0.76,1.0,1.47,1.05,1.03,0.96,0.97,1.05,0.94,1.03,0.95,1.03,1.08
a_1,1.14,1.1,1.11,0.96,0.67,1.0,1.09,1.16,0.94,1.0,1.38,0.93,1.05,1.24,1.05,0.83
h_1,1.17,0.95,0.97,0.99,0.94,0.92,1.0,1.1,0.99,0.94,1.01,0.96,0.96,0.93,1.07,0.93
g_1,1.11,1.18,0.9,1.0,0.99,0.87,0.9,1.0,0.93,0.8,0.95,1.12,0.97,0.98,0.92,1.06
c_0,1.04,0.8,0.96,1.21,0.94,1.05,1.04,1.1,1.0,1.11,1.47,1.09,1.03,1.06,0.93,1.09
d_0,0.97,0.87,0.69,1.52,1.06,1.01,1.08,1.26,0.84,1.0,1.01,1.02,0.99,0.93,1.05,1.09
b_0,1.08,0.97,0.91,1.33,0.95,0.78,1.01,0.98,0.68,0.99,1.0,0.97,1.07,1.57,1.07,1.03
f_0,1.04,1.0,0.89,1.08,0.97,1.07,1.04,0.88,0.92,0.99,0.95,1.0,1.08,0.91,0.86,1.43
h_0,1.06,1.01,0.92,1.08,1.0,0.9,1.04,1.07,0.97,1.02,0.99,0.93,1.0,0.87,1.21,0.9
a_0,1.05,0.93,0.98,1.11,1.08,0.84,1.02,1.0,0.91,1.09,0.65,1.04,1.13,1.0,1.0,1.16
g_0,1.03,1.05,0.9,1.03,1.03,0.91,0.92,1.09,1.03,0.99,0.9,1.2,0.84,1.0,1.0,1.06
e_0,1.16,1.07,1.06,1.01,0.93,1.07,1.09,0.95,0.88,0.89,1.03,0.7,1.04,0.93,0.92,1.0
