,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.5,0.2,0.15,0.15,0.15,0.17,0.2,,0.14,0.34,0.21,0.16,0.19,0.21,0.13,0.16
e_1,0.15,1.51,0.13,0.17,0.15,0.15,0.21,0.31,0.19,0.2,0.2,0.2,0.21,0.15,,0.18
f_1,0.18,0.28,1.52,0.18,0.12,0.17,0.2,0.2,0.22,0.2,,0.2,0.16,0.15,0.12,0.19
c_1,0.17,0.19,0.17,1.53,0.23,0.14,0.17,0.17,0.18,,0.19,0.16,0.3,0.15,,0.27
b_1,0.16,0.16,0.2,0.17,1.61,0.22,0.23,0.19,0.18,0.21,0.17,,0.22,0.16,0.2,0.24
a_1,0.17,0.18,0.13,0.15,0.16,1.72,0.22,0.25,0.19,0.24,0.25,0.21,0.24,,,0.21
h_1,0.43,0.31,0.54,0.41,0.34,0.26,1.66,0.45,0.61,0.45,0.37,0.37,,0.41,0.44,0.53
d_0,,0.48,0.45,0.78,0.57,0.46,0.45,1.38,0.4,0.5,0.49,0.44,0.56,0.44,0.45,0.55
g_1,0.52,0.33,0.31,0.36,0.36,0.3,0.31,0.51,1.74,0.59,0.65,0.55,0.52,,0.41,
c_0,0.38,0.44,0.51,,0.33,0.3,0.64,0.6,0.38,1.44,0.53,0.93,0.67,0.36,0.43,0.68
f_0,0.45,0.36,,0.57,0.57,0.32,0.6,0.58,0.54,0.46,1.45,0.58,0.6,0.45,0.78,0.55
b_0,0.48,0.44,0.45,0.46,,0.31,0.6,0.68,0.51,0.39,0.51,1.49,0.68,0.95,0.45,0.49
h_0,0.8,0.56,0.89,0.49,0.52,0.4,,0.8,0.66,0.56,0.66,0.7,,0.55,0.54,0.78
a_0,0.39,0.65,0.53,0.42,0.35,,0.66,0.63,,0.68,0.68,0.35,0.61,1.6,,0.54
e_0,0.64,,0.62,,0.42,,0.51,0.76,0.56,0.62,0.46,0.5,0.81,,1.61,0.63
g_0,0.89,0.51,0.57,0.43,0.46,0.49,0.67,0.63,,0.78,0.95,0.76,0.82,0.65,0.56,
