,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,6.03,1.12,2.51,1.33,1.02,1.14,4.34,3.51,5.85,4.76,2.01,5.64,8.21,8.32,6.27,3.73
d_1,1.54,6.15,1.24,1.03,1.24,0.95,4.34,5.26,2.99,11.83,7.26,8.3,10.68,9.45,7.25,6.85
e_1,1.35,1.04,6.17,1.4,1.35,1.49,4.69,4.65,10.73,6.25,6.62,6.94,10.54,9.47,6.27,3.41
c_1,1.34,1.27,1.12,6.53,2.56,0.88,4.53,4.02,5.55,1.72,5.32,4.85,9.01,8.94,6.16,6.95
b_1,1.38,1.26,1.15,1.39,7.18,2.45,5.11,4.35,5.51,6.13,6.24,2.65,8.29,9.38,4.92,7.3
a_1,1.38,1.53,1.08,1.45,1.07,10.98,4.59,5.21,6.32,6.37,7.73,7.0,9.18,8.29,1.62,6.4
h_1,2.1,1.52,1.34,2.09,1.48,1.24,15.81,7.07,7.3,7.19,6.64,8.53,5.41,16.35,7.39,10.27
g_1,1.28,2.51,1.43,1.68,1.21,1.68,4.49,19.05,5.74,8.45,11.38,8.16,10.22,5.39,5.75,9.32
d_0,1.47,0.99,1.55,3.05,1.58,1.5,6.45,6.42,14.87,5.84,5.91,7.54,9.96,10.35,9.72,7.37
c_0,1.51,1.8,1.47,0.9,1.37,1.94,6.4,7.06,8.39,16.52,9.93,15.92,13.7,11.6,10.47,10.65
f_0,0.84,2.11,1.23,1.65,1.78,1.79,6.4,7.99,7.44,8.74,18.13,9.62,12.55,11.9,9.41,17.79
b_0,1.73,1.97,1.3,2.06,0.71,1.37,6.37,5.03,7.82,7.09,8.12,17.45,13.01,12.24,17.39,9.8
h_0,2.19,1.9,1.54,1.57,1.62,1.45,3.3,7.36,6.61,7.28,8.89,8.63,6.54,14.72,8.11,7.36
g_0,1.27,2.52,1.51,1.68,1.36,1.64,6.37,4.0,7.13,8.27,12.46,9.09,9.11,6.04,9.4,8.93
a_0,1.53,1.93,1.56,1.66,1.52,0.95,7.39,5.26,7.57,6.19,8.71,7.36,13.51,14.46,25.38,5.65
e_0,1.41,2.06,0.68,1.73,1.7,1.59,7.92,7.42,7.37,6.95,8.11,10.19,14.07,14.51,10.13,26.26
