,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.65,0.09,0.07,0.07,0.08,0.08,0.28,0.23,0.39,0.81,0.36,0.35,0.31,0.46,,0.41
f_1,0.12,5.68,0.09,0.07,0.1,0.09,0.27,0.24,0.43,0.35,0.41,,0.39,0.56,0.3,0.52
d_1,0.06,0.1,5.86,0.05,0.09,0.07,0.33,0.31,0.66,,0.4,0.43,0.38,0.49,0.34,0.55
c_1,0.09,0.05,0.08,7.01,0.14,0.07,0.26,0.29,,0.51,0.42,0.46,0.23,0.63,0.39,0.53
b_1,0.09,0.06,0.1,0.07,7.72,0.16,0.28,0.28,0.31,0.34,,0.36,0.27,0.72,0.3,0.64
a_1,0.09,0.07,0.06,0.1,0.07,11.07,0.36,0.21,0.45,0.4,0.42,0.27,,0.61,,0.56
h_1,0.28,0.44,0.27,0.28,0.21,0.21,13.1,1.42,1.52,1.48,1.73,1.38,1.66,,1.48,1.9
g_1,0.24,0.3,0.41,0.37,0.24,0.3,0.81,15.46,1.46,1.41,0.97,2.29,0.95,2.49,1.57,
c_0,0.43,0.35,0.38,,0.33,0.33,1.6,1.74,12.27,1.55,3.31,1.99,1.29,2.58,1.86,4.03
d_0,0.37,0.27,,0.76,0.41,0.36,1.31,1.75,1.78,12.68,1.9,2.2,1.86,3.7,1.91,2.13
b_0,0.35,0.31,0.4,0.34,,0.31,1.6,1.67,1.47,1.57,13.4,2.03,4.13,3.37,2.24,3.81
f_0,0.3,,0.38,0.39,0.35,0.4,1.78,0.96,1.49,1.9,2.2,15.44,1.65,3.65,,3.38
a_0,0.41,0.42,0.53,0.38,0.23,,1.85,1.31,1.72,1.42,1.38,1.98,19.0,3.13,,2.66
h_0,0.56,0.84,0.6,0.65,0.65,0.35,,2.73,2.4,3.41,2.21,1.76,3.84,,2.04,6.27
e_0,,0.44,0.34,0.32,0.35,,1.99,1.48,1.55,2.01,1.88,,,3.92,23.23,2.76
g_0,0.51,0.58,0.68,0.48,0.53,0.44,2.39,,4.49,1.54,3.02,4.55,3.37,3.23,2.76,
