,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.12,1.14,1.08,1.69,2.96,20.43,24.01,23.94,39.87,41.11,40.14,59.35,85.25,81.42,73.76
e_1,0.89,1.0,0.8,1.3,1.73,2.99,22.36,36.9,33.06,28.87,43.02,43.31,72.4,83.64,107.99,90.75
f_1,0.87,1.25,1.0,1.07,1.44,3.09,14.3,24.05,30.2,24.08,29.87,32.29,43.21,66.79,58.39,67.14
c_1,0.93,0.77,0.94,1.0,1.89,2.23,15.38,16.39,24.34,21.9,30.32,26.85,61.86,62.77,63.27,87.94
b_1,0.6,0.58,0.69,0.53,1.0,2.28,13.04,13.62,16.08,18.8,20.8,27.04,36.76,41.17,54.78,55.98
a_1,0.34,0.33,0.33,0.45,0.44,1.0,8.69,9.99,11.7,11.07,15.59,16.55,27.48,30.38,36.82,30.76
h_1,0.05,0.04,0.07,0.06,0.08,0.12,1.0,1.29,2.12,1.32,1.87,2.01,3.42,3.84,3.87,4.84
d_0,0.04,0.03,0.04,0.06,0.07,0.11,0.77,1.0,1.0,0.87,1.32,1.45,2.41,2.3,2.84,3.38
g_1,0.04,0.03,0.03,0.04,0.06,0.09,0.48,1.0,1.0,0.99,1.56,1.42,2.2,3.21,3.12,2.45
c_0,0.02,0.04,0.04,0.05,0.05,0.08,0.8,1.16,1.01,1.0,1.47,2.34,2.43,3.0,3.24,3.49
f_0,0.02,0.02,0.03,0.03,0.05,0.07,0.55,0.7,0.67,0.68,1.0,1.06,1.73,1.83,2.95,1.61
b_0,0.02,0.02,0.03,0.04,0.03,0.06,0.5,0.75,0.7,0.46,0.97,1.0,1.69,3.05,2.16,1.88
h_0,0.02,0.01,0.02,0.02,0.03,0.04,0.29,0.4,0.46,0.4,0.57,0.57,1.0,1.07,1.2,1.36
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.27,0.39,0.29,0.37,0.54,0.34,0.95,1.0,1.1,1.08
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.27,0.35,0.31,0.33,0.33,0.47,0.79,0.92,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.28,0.4,0.31,0.62,0.53,0.74,0.93,0.94,1.0
