,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.77,0.96,1.06,0.95,0.7,0.58,0.47,0.58,0.34,0.39,0.4,0.36,0.32,0.3,0.39
f_1,1.29,1.0,0.84,0.95,0.79,0.68,0.44,0.44,0.44,0.45,0.39,0.35,0.26,0.3,0.28,0.28
d_1,1.05,1.19,1.0,0.82,0.95,0.77,0.5,0.39,0.55,0.54,0.42,0.38,0.4,0.26,0.33,0.32
c_1,0.94,1.06,1.22,1.0,1.25,0.7,0.53,0.44,0.32,0.38,0.29,0.36,0.39,0.35,0.32,0.28
b_1,1.04,1.26,1.06,0.81,1.0,1.05,0.49,0.52,0.48,0.61,0.45,0.45,0.44,0.37,0.35,0.36
a_1,1.44,1.47,1.3,1.41,0.93,1.0,0.78,0.73,0.61,0.45,0.56,0.5,0.48,0.44,0.4,0.38
h_1,1.78,2.24,1.91,1.97,1.88,1.27,1.0,0.97,0.8,0.75,0.74,0.9,0.69,0.75,0.62,0.59
g_1,2.2,2.22,2.56,2.19,1.97,1.41,1.05,1.0,0.81,0.89,0.79,1.09,0.7,0.75,0.8,0.73
d_0,1.71,2.34,1.92,3.16,2.03,1.62,1.24,1.18,1.0,0.77,0.92,0.95,0.83,0.75,0.71,0.74
c_0,2.77,2.31,1.82,2.64,1.66,2.11,1.39,1.1,1.29,1.0,1.6,0.98,0.87,0.91,0.75,0.68
b_0,2.46,2.57,2.49,3.26,2.44,1.77,1.37,1.28,1.09,0.69,1.0,0.95,0.97,0.91,1.12,0.78
f_0,2.27,3.05,2.57,2.79,2.2,1.99,1.07,0.95,1.13,1.04,1.12,1.0,1.09,0.82,1.0,1.17
h_0,2.85,3.94,2.51,2.67,2.33,1.9,1.44,1.5,1.21,1.22,1.04,0.92,1.0,1.09,0.85,0.82
g_0,3.19,3.33,3.99,2.99,2.79,2.28,1.31,1.31,1.31,1.1,1.13,1.28,0.95,0.99,0.88,0.81
a_0,3.44,3.57,2.92,3.09,2.95,2.68,1.59,1.27,1.39,1.36,0.9,1.02,1.22,1.16,1.0,0.87
e_0,2.59,3.73,3.12,3.49,3.01,2.28,1.78,1.38,1.45,1.39,1.27,0.89,1.24,1.14,1.12,1.0
