,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,107.58,72.53,60.13,75.96,116.73,211.39,6578.64,13411.14,16555.42,14894.94,28123.64,27752.5,58622.98,71443.02,189322.94,104082.83
e_1,50.51,108.26,53.26,76.47,107.9,236.65,9764.47,14971.64,31028.84,20675.51,35773.95,56420.33,76728.1,88406.58,195991.41,122006.31
d_1,48.6,45.72,123.63,60.42,98.06,280.64,7407.14,12374.08,11209.4,29527.61,34096.27,44085.85,62494.03,94107.69,154286.25,175374.36
c_1,45.39,45.59,50.97,143.09,160.99,200.66,6472.81,11116.29,13284.33,8375.39,20533.75,37971.57,59598.76,72501.74,147164.26,115102.44
b_1,35.13,35.62,48.34,46.98,212.65,332.87,6293.15,11125.69,14731.01,12349.13,12343.95,40107.37,43126.25,66078.67,131235.12,125752.94
a_1,31.9,30.33,35.5,41.73,57.12,421.55,5889.05,9180.92,10200.55,11605.77,15362.21,24214.59,32412.94,58123.96,101302.09,86406.52
h_1,16.46,10.7,15.55,18.22,25.24,55.3,3453.29,4632.89,4971.45,4925.71,6834.3,10428.44,15151.1,16460.25,57602.77,41736.17
g_1,9.56,10.43,18.95,16.38,19.64,49.57,1397.71,5480.95,2438.84,3534.38,5749.64,11249.01,11233.6,16499.97,33361.95,29545.81
d_0,10.33,7.97,8.88,23.56,23.43,51.52,1654.55,3281.51,5295.05,3073.34,5504.35,8806.72,14278.31,16700.59,34862.45,29697.02
c_0,11.67,9.94,10.65,11.34,19.52,49.0,1546.25,3439.81,4157.03,5558.47,11255.51,10316.03,16832.19,18471.74,37482.61,31622.79
b_0,9.79,8.26,9.87,13.98,18.34,39.91,1484.43,2538.44,3439.27,2495.08,7570.78,6693.57,22980.35,17188.95,34216.57,28344.65
f_0,6.84,6.21,9.98,11.76,15.15,42.9,1383.35,1988.08,3156.23,2802.16,4899.61,10843.62,10539.44,12088.15,26508.99,48043.86
a_0,7.93,6.19,8.02,10.04,15.34,19.35,1155.75,2182.45,2266.39,2077.32,3643.79,5566.44,15281.35,11431.43,23790.37,14842.53
h_0,9.59,6.61,7.91,9.22,13.0,24.8,752.36,2468.94,2183.19,2158.91,3467.01,5815.79,8887.57,8894.82,28622.75,20520.66
g_0,4.6,4.77,8.08,7.18,11.02,27.66,774.79,1084.28,1900.84,1693.28,2696.53,6537.57,7707.68,8367.01,14660.26,17711.44
e_0,5.91,4.19,6.0,9.0,10.27,24.04,792.26,1503.71,1901.03,2009.29,3054.83,2693.71,8721.46,9466.38,19072.73,28795.88
