,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.87,0.17,0.08,0.07,0.07,0.04,0.08,0.06,0.07,0.06,0.02,0.07,0.08,0.03,0.05,0.05
e_1,0.1,0.88,0.08,0.09,0.05,0.04,0.08,0.07,0.07,0.15,0.08,0.09,0.08,0.02,0.04,0.06
d_1,0.1,0.08,0.88,0.07,0.09,0.05,0.08,0.06,0.17,0.02,0.07,0.07,0.06,0.06,0.04,0.05
c_1,0.1,0.09,0.07,0.88,0.13,0.04,0.07,0.07,0.02,0.07,0.07,0.07,0.07,0.05,0.04,0.05
b_1,0.1,0.08,0.1,0.06,0.87,0.08,0.08,0.07,0.07,0.08,0.08,0.02,0.06,0.04,0.04,0.05
a_1,0.11,0.06,0.09,0.09,0.06,0.87,0.09,0.05,0.1,0.08,0.05,0.07,0.08,0.06,,0.06
h_1,0.2,0.13,0.16,0.14,0.12,0.08,0.52,0.12,0.1,0.11,0.14,0.11,0.05,0.07,0.09,0.15
g_1,0.16,0.13,0.27,0.11,0.11,0.06,0.13,0.53,0.1,0.08,0.2,0.13,0.11,0.07,0.09,0.04
c_0,0.2,0.17,0.16,0.04,0.12,0.07,0.15,0.12,0.37,0.13,0.15,0.24,0.14,0.1,0.11,0.13
d_0,0.19,0.15,0.06,0.27,0.12,0.07,0.14,0.11,0.1,0.36,0.11,0.13,0.14,0.11,0.08,0.11
f_0,0.06,0.14,0.21,0.16,0.14,0.07,0.11,0.11,0.15,0.15,0.39,0.14,0.17,0.19,0.09,0.13
b_0,0.16,0.19,0.16,0.14,0.05,0.06,0.18,0.12,0.13,0.17,0.15,0.36,0.17,0.1,0.21,0.09
h_0,0.23,0.18,0.17,0.14,0.08,0.06,0.05,0.15,0.13,0.12,0.12,0.12,0.05,0.07,0.09,0.12
e_0,0.23,0.05,0.19,0.12,0.13,0.1,0.21,0.1,0.18,0.11,0.1,0.13,0.18,0.38,0.11,0.11
a_0,0.18,0.12,0.19,0.12,0.13,,0.14,0.13,0.18,0.12,0.12,0.15,0.14,0.12,0.35,0.16
g_0,0.1,0.15,0.24,0.15,0.12,0.08,0.12,0.06,0.15,0.1,0.2,0.13,0.14,0.09,0.1,0.05
