,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.77,1.09,0.99,0.86,0.71,0.72,0.99,0.66,0.73,0.71,0.68,0.62,0.68,0.6
d_1,1.12,1.0,1.11,0.87,0.94,0.78,0.79,0.57,0.64,0.84,0.67,0.61,0.51,0.66,0.52,0.49
f_1,1.3,0.9,1.0,0.94,0.95,0.84,0.52,0.66,0.59,0.62,0.61,0.65,0.52,0.62,0.48,0.61
c_1,0.92,1.16,1.05,1.0,1.34,0.76,0.68,0.69,0.48,0.55,0.51,0.52,0.59,0.55,0.54,0.49
b_1,1.0,1.05,1.05,0.74,1.0,1.36,0.92,0.75,0.71,0.73,0.59,0.65,0.59,0.5,0.58,0.6
a_1,1.16,1.29,1.19,1.32,0.74,1.0,0.77,1.01,0.81,0.76,0.88,0.81,0.84,0.61,0.76,0.73
h_1,1.33,1.33,1.89,1.51,1.11,1.23,1.0,1.11,0.94,0.91,0.95,0.83,0.86,0.75,0.7,0.89
g_1,1.36,1.77,1.54,1.45,1.36,1.03,0.9,1.0,0.83,1.0,0.95,1.08,0.77,0.7,0.86,0.84
d_0,0.98,1.65,1.6,2.14,1.52,1.18,1.08,1.24,1.0,0.92,1.03,0.91,0.92,0.84,0.92,0.85
c_0,1.47,1.2,1.5,1.72,1.37,1.37,1.09,1.04,1.13,1.0,1.4,1.08,0.99,0.93,0.96,0.81
b_0,1.33,1.5,1.57,2.02,1.62,1.28,1.04,1.12,0.99,0.68,1.0,1.03,0.89,1.14,0.84,0.78
f_0,1.44,1.58,1.65,1.83,1.48,1.2,1.21,0.92,1.12,0.97,0.99,1.0,1.08,0.79,1.32,0.69
h_0,1.53,1.92,1.94,1.71,1.67,1.21,1.17,1.33,1.09,1.0,1.09,0.89,1.0,0.89,0.86,1.05
a_0,1.6,1.48,1.76,1.8,2.14,1.51,1.38,1.43,1.15,1.0,0.89,1.24,1.16,1.0,1.03,0.89
e_0,1.58,2.03,2.16,1.86,1.71,1.33,1.46,1.12,1.17,1.09,1.21,0.74,1.13,1.0,1.0,0.91
g_0,1.74,2.1,1.65,1.88,1.58,1.38,1.08,1.22,1.17,1.18,1.24,1.44,0.92,1.1,1.03,1.0
