,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.87,1.24,0.97,0.86,0.64,0.44,0.45,0.43,0.39,0.39,0.34,0.3,0.35,0.32,0.24
d_1,1.12,1.0,1.07,0.91,0.91,0.64,0.48,0.39,0.41,0.51,0.37,0.41,0.35,0.27,0.31,0.29
e_1,0.83,0.93,1.0,1.11,0.91,0.8,0.53,0.49,0.6,0.43,0.46,0.44,0.37,0.35,0.36,0.42
c_1,1.0,1.15,0.9,1.0,1.23,0.69,0.5,0.44,0.33,0.38,0.42,0.34,0.38,0.35,0.3,0.32
b_1,1.16,1.09,1.07,0.82,1.0,1.16,0.59,0.5,0.44,0.48,0.44,0.43,0.38,0.38,0.32,0.36
a_1,1.52,1.52,1.25,1.45,0.88,1.0,0.72,0.62,0.67,0.53,0.59,0.6,0.51,0.47,0.44,0.46
h_1,2.24,2.07,1.87,1.94,1.7,1.42,1.0,1.01,0.85,0.74,0.75,0.77,0.7,0.73,0.56,0.62
g_1,2.2,2.58,2.02,2.25,2.13,1.57,0.97,1.0,0.86,0.93,0.97,0.97,0.7,0.66,0.66,0.74
d_0,2.24,2.49,1.72,2.91,2.36,1.61,1.17,1.16,1.0,0.78,0.9,0.83,0.79,0.79,0.76,0.71
c_0,2.66,1.98,2.31,2.75,2.08,1.88,1.32,1.06,1.29,1.0,1.0,1.25,0.89,0.79,0.89,0.84
f_0,2.58,2.64,2.24,2.41,2.21,1.76,1.26,1.07,1.12,1.02,1.0,0.97,0.89,0.66,0.76,1.08
b_0,2.97,2.52,2.29,2.79,2.36,1.63,1.3,1.09,1.14,0.78,1.04,1.0,0.98,0.81,1.13,0.76
h_0,3.31,2.8,2.76,2.62,2.66,2.0,1.51,1.34,1.24,1.07,1.1,1.04,1.0,1.09,0.85,0.81
g_0,2.78,3.63,2.89,2.93,2.52,2.27,1.42,1.46,1.26,1.27,1.4,1.18,0.93,1.0,0.98,0.92
a_0,3.07,3.26,2.94,3.23,3.03,2.36,1.76,1.51,1.27,1.1,1.34,0.93,1.21,1.02,1.0,0.96
e_0,3.98,3.32,2.46,3.06,2.84,2.18,1.65,1.37,1.36,1.22,1.01,1.34,1.22,1.09,1.11,1.0
