,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.94,0.41,0.39,0.46,0.35,0.3,0.3,0.24,0.41,0.2,0.27,0.22,0.23,0.21,0.16,0.2
f_1,0.66,0.94,0.36,0.41,0.29,0.26,0.24,0.23,0.27,0.24,0.13,0.23,0.22,0.15,0.14,0.21
d_1,0.43,0.51,0.95,0.36,0.33,0.24,0.29,0.24,0.16,0.42,0.21,0.32,0.25,0.2,0.17,0.19
c_1,0.42,0.45,0.4,0.94,0.65,0.22,0.27,0.26,0.22,0.15,0.24,0.18,0.23,0.18,0.19,0.18
b_1,0.44,0.5,0.46,0.33,0.94,0.53,0.27,0.3,0.3,0.28,0.27,0.14,0.27,0.17,0.18,0.21
a_1,0.5,0.48,0.57,0.63,0.34,0.93,0.36,0.27,0.36,0.31,0.3,0.27,0.3,0.13,0.23,0.26
h_1,0.63,0.91,0.7,0.63,0.56,0.34,0.75,0.55,0.41,0.37,0.36,0.36,0.32,0.3,0.27,0.36
g_1,0.73,0.64,1.01,0.61,0.53,0.41,0.41,0.74,0.44,0.44,0.5,0.32,0.32,0.32,0.34,0.28
d_0,0.65,0.79,0.51,1.15,0.64,0.41,0.46,0.32,0.64,0.32,0.37,0.36,0.46,0.29,0.31,0.34
c_0,0.85,0.82,0.77,0.53,0.38,0.51,0.49,0.4,0.55,0.66,0.48,0.71,0.42,0.3,0.29,0.39
f_0,0.64,0.65,0.91,0.73,0.63,0.48,0.49,0.43,0.51,0.38,0.67,0.47,0.44,0.27,0.6,0.31
b_0,0.86,0.93,0.69,0.8,0.43,0.45,0.48,0.49,0.53,0.39,0.41,0.65,0.5,0.58,0.26,0.36
h_0,0.84,1.11,0.96,0.75,0.66,0.43,0.33,0.6,0.38,0.51,0.39,0.37,0.35,0.29,0.29,0.45
a_0,0.82,0.87,0.9,0.84,0.74,0.42,0.58,0.42,0.54,0.54,0.5,0.39,0.54,0.6,0.35,0.31
e_0,0.54,1.05,0.95,0.81,0.72,0.42,0.64,0.49,0.56,0.61,0.39,0.55,0.53,0.33,0.62,0.38
g_0,0.82,0.74,1.32,0.81,0.62,0.49,0.55,0.35,0.47,0.47,0.71,0.49,0.48,0.42,0.41,0.3
