,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.75,0.89,1.06,0.95,0.85,0.52,0.55,0.47,0.41,0.37,0.47,0.34,0.35,0.35,0.33
f_1,1.34,1.0,0.89,1.0,0.86,0.65,0.38,0.48,0.46,0.4,0.39,0.36,0.3,0.31,0.34,0.23
d_1,1.12,1.11,1.0,0.91,0.88,0.71,0.5,0.51,0.36,0.56,0.48,0.38,0.37,0.33,0.26,0.32
c_1,0.94,1.02,1.09,1.0,1.25,0.75,0.51,0.33,0.4,0.35,0.34,0.34,0.35,0.32,0.32,0.32
b_1,1.04,1.16,1.09,0.8,1.0,1.04,0.58,0.45,0.46,0.48,0.4,0.45,0.35,0.33,0.33,0.37
a_1,1.18,1.48,1.42,1.34,0.95,1.0,0.72,0.62,0.64,0.6,0.71,0.56,0.56,0.6,0.43,0.44
h_1,1.87,2.59,2.06,1.93,1.71,1.38,1.0,0.99,1.0,0.87,0.7,0.77,0.75,0.65,0.88,0.61
d_0,1.76,2.12,2.09,3.01,2.13,1.64,0.98,1.0,0.94,0.73,0.84,0.87,0.9,0.69,0.84,0.69
g_1,2.18,2.21,2.74,2.42,2.15,1.55,0.96,1.01,1.0,0.91,0.84,1.11,0.7,0.75,0.82,0.76
c_0,2.44,2.54,1.83,2.81,2.05,1.72,1.15,1.3,1.07,1.0,1.4,0.98,0.93,0.85,0.84,0.78
b_0,2.66,2.6,2.27,3.1,2.35,1.43,1.4,1.15,1.16,0.72,1.0,1.0,1.0,1.13,0.83,0.72
f_0,2.16,2.68,2.79,2.67,2.28,1.87,1.24,1.16,0.89,0.96,0.93,1.0,0.91,0.75,0.7,1.18
h_0,3.0,3.39,2.67,2.78,2.71,1.91,1.36,1.15,1.41,1.04,1.01,1.05,1.0,0.87,1.03,0.87
a_0,2.93,3.31,3.05,3.29,2.99,1.75,1.51,1.46,1.31,1.14,0.89,1.18,1.25,1.0,1.17,0.9
g_0,2.91,3.08,3.87,2.98,2.97,2.2,1.13,1.23,1.23,1.29,1.18,1.41,0.98,0.82,1.0,0.99
e_0,3.18,4.5,3.13,3.09,2.7,2.12,1.7,1.41,1.45,1.32,1.43,0.84,1.17,1.03,1.04,1.0
