,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,12.28,1.55,0.67,0.67,0.54,0.49,0.82,0.84,0.85,0.86,0.48,0.91,0.76,1.05,0.61,0.91
e_1,0.68,11.65,0.48,0.97,0.63,0.62,0.96,2.35,0.91,0.84,0.97,0.95,1.01,0.97,0.62,0.89
d_1,0.78,0.7,14.65,0.42,0.48,0.74,1.07,0.53,0.88,2.68,1.08,1.27,0.99,1.0,1.08,1.04
c_1,0.56,0.45,0.64,14.43,1.69,0.68,0.79,0.95,0.91,0.39,1.0,0.63,0.88,0.87,1.07,0.96
b_1,0.64,0.53,0.65,0.58,16.76,1.77,0.81,0.78,0.78,0.69,1.07,0.49,0.75,0.98,1.05,0.97
a_1,0.76,0.72,0.71,0.64,0.59,21.68,1.02,0.95,0.95,0.95,1.03,1.17,0.67,1.01,0.89,0.83
h_1,1.11,0.67,0.88,0.76,0.65,0.56,3.68,0.81,1.56,1.08,1.11,1.01,1.07,0.79,1.01,1.72
d_0,0.79,0.54,0.48,2.5,0.85,0.54,1.12,2.06,0.94,0.63,0.85,1.13,1.01,1.15,1.17,1.2
g_1,0.58,0.58,1.97,0.72,0.57,0.6,1.0,0.84,4.9,1.08,1.71,1.17,1.26,1.04,1.27,0.8
c_0,1.04,0.7,0.94,0.44,0.52,0.62,1.36,0.84,1.32,2.48,1.24,3.21,1.83,1.24,1.32,1.29
f_0,0.43,0.58,0.97,0.98,0.84,0.73,1.25,1.02,1.31,1.14,2.83,1.47,1.59,1.18,3.78,1.15
b_0,0.87,0.74,1.04,0.77,0.51,0.48,1.17,0.87,1.08,1.17,1.07,3.17,3.87,1.15,1.14,1.05
a_0,0.83,0.72,1.0,0.7,0.73,0.36,1.42,1.0,1.14,1.34,1.26,1.28,3.18,1.23,1.32,1.36
h_0,1.36,0.61,0.99,0.91,0.63,0.7,0.64,0.88,1.48,0.93,0.95,1.04,0.97,0.71,1.1,1.55
e_0,0.67,0.37,0.89,1.06,1.04,0.73,1.13,0.86,1.32,1.11,1.15,1.19,1.4,1.45,3.44,1.28
g_0,0.59,0.56,1.67,0.78,0.58,0.66,1.22,0.84,0.7,1.09,2.76,1.13,1.07,1.08,1.74,0.86
