,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.49,0.25,0.19,0.19,0.17,0.13,0.16,0.19,0.21,0.19,0.22,,0.13,0.18,0.2,0.12
e_1,0.17,1.5,0.17,0.12,0.15,0.13,0.19,0.15,0.35,0.2,0.2,0.21,0.19,0.19,0.16,
d_1,0.16,0.15,1.52,0.17,0.15,0.13,0.2,0.13,,0.33,0.21,0.21,0.15,0.29,0.14,0.2
c_1,0.16,0.22,0.17,1.54,0.26,0.16,0.16,0.2,0.15,,0.19,0.16,0.23,0.23,0.22,0.13
b_1,0.14,0.17,0.18,0.15,1.6,0.27,0.23,0.16,0.21,0.16,,0.22,0.2,0.25,0.21,0.14
a_1,0.21,0.19,0.22,0.14,0.12,1.72,0.29,0.25,0.19,0.24,0.18,0.17,,0.25,0.17,
h_1,0.52,0.38,0.37,0.45,0.3,0.25,1.64,0.47,0.57,0.48,0.42,0.44,0.29,,0.59,0.32
g_1,0.39,0.44,0.73,0.41,0.38,0.24,0.47,1.72,0.32,0.49,0.38,0.52,0.29,0.46,,
d_0,0.4,0.39,,0.78,0.4,0.42,0.58,0.56,1.4,0.63,0.47,0.59,0.48,0.67,0.48,0.42
c_0,0.54,0.52,0.37,,0.44,0.31,0.55,0.55,0.56,1.44,0.97,0.44,0.51,0.62,0.47,
b_0,0.48,0.48,0.43,0.48,,0.43,0.61,0.49,0.66,0.39,1.48,0.45,0.76,0.66,0.65,0.45
f_0,,0.46,0.4,0.56,0.51,0.47,0.57,0.49,0.59,0.62,0.51,1.49,0.38,0.6,0.49,
a_0,0.53,0.43,0.49,0.3,0.37,,0.64,0.63,0.63,0.55,0.49,0.62,1.65,0.73,0.65,
h_0,0.94,0.55,0.46,0.62,0.57,0.36,,0.84,0.55,0.6,0.62,0.75,0.65,,0.98,0.64
g_0,0.56,0.71,0.93,0.56,0.54,0.59,0.68,,0.88,0.75,0.54,0.92,0.49,0.58,,0.6
e_0,0.62,,0.44,0.58,0.53,,0.58,,0.69,,0.66,,,0.57,0.55,1.74
