,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.38,1.03,1.14,1.32,1.2,1.06,2.37,2.39,2.86,3.82,2.46,2.59,2.49,3.31,1.68,3.02
f_1,1.77,2.46,0.99,1.23,0.96,1.1,1.84,1.87,2.09,2.26,1.47,2.29,2.37,2.6,1.88,2.91
d_1,1.02,1.19,2.48,0.93,1.17,1.18,2.3,2.07,3.91,1.81,2.53,2.74,2.43,2.49,3.03,2.69
c_1,1.05,1.01,1.18,2.66,1.81,1.09,2.26,1.96,0.96,2.07,2.53,1.9,2.46,2.77,2.36,2.9
b_1,1.05,1.32,1.06,1.01,2.77,1.84,2.34,2.2,2.3,2.32,2.65,1.7,1.88,3.44,2.15,3.08
a_1,1.3,1.17,1.13,1.02,0.87,3.27,2.25,2.26,2.5,2.83,2.71,2.63,2.0,3.59,3.09,3.34
h_1,1.08,1.74,1.2,1.24,1.11,1.15,3.91,3.13,2.55,2.53,2.46,3.03,2.84,2.84,2.9,4.32
g_1,1.14,1.22,1.72,1.4,1.23,1.02,1.82,4.21,2.51,2.24,3.65,2.65,2.58,3.41,2.19,2.99
c_0,1.03,1.46,1.36,1.25,0.99,1.25,2.51,2.4,3.93,2.75,2.86,5.4,3.32,3.9,3.46,4.15
d_0,1.06,1.39,0.9,2.07,1.26,0.88,2.47,2.75,2.39,3.96,2.59,2.87,3.16,4.13,3.05,3.25
f_0,1.05,1.01,1.46,1.45,1.11,1.16,2.56,2.22,2.89,3.15,4.4,2.83,2.93,3.55,5.48,3.35
b_0,1.06,1.44,1.32,1.6,0.78,1.04,2.37,2.6,2.22,2.83,3.26,4.36,4.78,3.72,2.92,3.91
a_0,1.13,1.56,1.4,1.29,1.22,0.68,2.64,2.46,2.47,2.71,2.79,2.33,4.87,3.68,2.59,3.69
h_0,1.16,1.81,1.51,1.12,1.05,1.16,1.76,3.03,2.51,2.33,2.57,2.51,2.5,2.68,2.33,4.06
e_0,0.89,1.57,1.26,1.35,1.51,1.08,2.35,2.6,2.82,2.82,2.45,3.3,3.4,3.83,5.06,3.16
g_0,1.18,1.11,1.87,1.31,1.16,1.0,2.1,1.77,2.43,2.48,3.89,2.95,2.85,3.31,3.06,2.92
