,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8708.37,1992.51,1797.28,1883.88,2896.63,9346.91,2013799.86,3347873.34,6220991.8,4518059.84,8215605.65,2998143.42,35462895.92,42528405.36,62105420.39,143538467.03
e_1,910.36,9828.32,2141.86,2172.76,1992.74,11884.97,1919540.11,5967972.41,5065425.85,4065407.36,13262030.61,15349365.98,46991140.93,19995559.91,80975941.23,154212615.15
c_1,989.11,849.66,20068.4,1804.29,6151.23,11046.34,1808445.27,3384542.27,1254621.37,4961983.07,7480164.14,15185401.74,46136983.77,87187176.1,64420664.97,137881778.67
d_1,1251.72,1119.17,1311.05,23390.06,3102.12,8783.76,1614338.92,675796.01,10684742.48,4754500.5,10929977.95,16253047.96,53378525.12,72442860.25,81119071.87,164561270.63
b_1,930.17,755.66,2047.72,2216.69,37665.86,27448.2,1785794.22,2894258.66,5296604.99,3978531.25,1461670.54,14032823.64,41967120.1,82066283.91,47340673.21,117594384.57
a_1,877.0,810.6,1558.76,2013.49,3529.55,202847.78,2277985.93,3657172.69,7341200.0,7460935.07,10948523.07,15177054.0,38639682.64,65237939.25,,150143983.23
h_1,2401.5,1562.59,2508.73,4233.13,4993.81,16997.89,13156292.94,4692379.62,9472517.74,10946549.84,20108236.47,25830300.97,30736624.12,151972970.86,115744119.55,366341813.97
d_0,1537.29,1837.38,6617.81,1352.04,5195.46,16575.55,2384953.56,14574672.91,10967693.77,7977185.73,21871150.35,28733395.2,88631929.57,169825303.33,121228899.24,273018513.72
c_0,1563.1,2114.65,1419.61,4071.29,4933.4,20716.9,4252153.33,5373706.4,31371996.81,9810823.54,39597561.25,31865086.57,84817490.97,110372947.54,148811920.77,346830763.46
g_1,1409.59,1496.33,3877.5,5808.36,4309.87,18015.11,2401120.85,4832199.11,10696092.36,44999853.92,16480970.07,43980632.33,73232946.9,149300180.65,109797886.41,52128207.94
b_0,2098.39,1852.72,3753.4,3449.83,1570.08,10596.32,3952572.12,5876907.42,12521304.08,9498973.3,65434179.34,26320045.88,89940463.47,153554245.12,313093973.0,304160338.97
f_0,721.91,1625.01,4318.25,5031.12,4911.05,17372.14,3866611.31,6036901.82,9692036.34,9050151.48,21329742.7,86996767.39,64672317.55,373459966.33,137085573.31,264566870.67
h_0,2424.52,1548.05,3547.23,3757.1,4350.34,20756.85,888454.84,6762286.59,12909288.15,11629552.88,22112451.78,21883545.64,35971817.23,108645671.36,143819766.71,373014445.69
e_0,1876.53,487.39,3394.43,5505.68,5888.49,20293.19,3594109.74,7257663.39,11754781.02,8590495.91,14852036.99,33197465.97,72594287.48,542980204.33,178102385.52,344490676.49
a_0,2061.74,1797.54,3682.06,4445.9,5166.81,,3246237.32,7075487.23,13478815.57,7370036.74,21007815.47,25214067.72,81316408.14,159496746.87,607098839.78,315004765.31
g_0,1336.89,1468.83,3302.27,6754.35,4696.66,20137.09,2668781.65,5416764.95,12441983.6,,20980882.38,37349320.68,60029891.57,116555315.02,114548756.5,
