,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.43,0.33,0.47,0.35,0.23,0.34,0.6,0.29,0.31,0.34,0.32,0.22,0.35,0.17,0.32
f_1,0.69,0.92,0.37,0.38,0.27,0.2,0.35,0.36,0.27,0.31,0.31,0.17,0.24,0.34,0.16,0.25
d_1,0.46,0.44,0.93,0.32,0.28,0.2,0.44,0.25,0.31,0.59,0.38,0.31,0.26,0.34,0.26,0.32
c_1,0.4,0.4,0.36,0.91,0.6,0.25,0.35,0.33,0.25,0.23,0.23,0.27,0.22,0.33,0.24,0.29
b_1,0.42,0.42,0.38,0.4,0.9,0.45,0.35,0.36,0.26,0.29,0.22,0.29,0.2,0.32,0.25,0.25
a_1,0.43,0.49,0.37,0.4,0.36,0.89,0.4,0.31,0.27,0.33,0.3,0.29,0.17,0.32,0.24,0.26
h_1,0.5,0.59,0.42,0.41,0.34,0.2,0.66,0.33,0.36,0.32,0.33,0.28,0.26,0.29,0.26,0.39
d_0,0.44,0.44,0.32,0.69,0.4,0.22,0.34,0.55,0.3,0.24,0.34,0.32,0.27,0.36,0.22,0.27
g_1,0.41,0.38,0.62,0.4,0.35,0.21,0.41,0.3,0.65,0.4,0.35,0.49,0.27,0.37,0.31,0.27
c_0,0.48,0.49,0.47,0.39,0.26,0.22,0.42,0.4,0.33,0.58,0.62,0.33,0.36,0.4,0.26,0.35
b_0,0.48,0.49,0.44,0.45,0.31,0.19,0.46,0.38,0.36,0.38,0.52,0.32,0.51,0.39,0.27,0.32
f_0,0.39,0.36,0.48,0.44,0.44,0.26,0.41,0.39,0.34,0.36,0.38,0.51,0.28,0.37,0.47,0.38
a_0,0.52,0.47,0.41,0.41,0.34,0.19,0.4,0.38,0.32,0.35,0.32,0.32,0.5,0.41,0.26,0.29
h_0,0.49,0.54,0.51,0.39,0.33,0.21,0.32,0.35,0.4,0.35,0.32,0.32,0.27,0.31,0.25,0.42
e_0,0.39,0.5,0.49,0.41,0.35,0.31,0.42,0.32,0.31,0.36,0.41,0.31,0.29,0.41,0.45,0.32
g_0,0.42,0.4,0.61,0.41,0.38,0.21,0.38,0.31,0.24,0.37,0.32,0.45,0.25,0.36,0.31,0.24
