,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.29,0.41,0.57,0.75,0.5,0.36,1.15,2.22,0.84,1.12,1.24,1.21,1.44,1.14,0.69,1.18
d_1,0.53,2.37,0.63,0.45,0.51,0.39,1.07,0.64,0.99,2.21,1.34,1.34,1.47,0.91,1.0,1.68
f_1,0.97,0.56,2.36,0.54,0.52,0.38,0.9,1.16,0.84,1.02,1.2,0.46,1.58,1.09,0.67,1.11
c_1,0.51,0.55,0.6,2.44,0.98,0.39,1.05,1.29,0.87,0.39,0.8,0.96,1.15,0.94,0.85,1.34
b_1,0.54,0.62,0.63,0.48,2.59,0.97,1.0,1.04,1.01,1.11,0.43,1.02,1.37,0.62,0.86,1.11
a_1,0.64,0.61,0.63,0.61,0.45,3.1,1.03,0.94,0.98,1.21,0.98,1.01,1.4,0.45,0.84,1.26
h_1,0.62,0.84,1.01,0.68,0.62,0.48,3.06,1.3,1.39,1.25,1.52,1.06,0.99,1.27,1.05,1.87
d_0,0.72,0.37,0.71,1.37,0.59,0.54,1.38,2.67,1.13,0.92,1.62,1.06,1.74,1.33,1.01,1.57
g_1,0.62,1.11,0.56,0.71,0.53,0.46,1.27,1.25,3.4,1.36,1.29,2.54,1.33,1.07,1.22,1.19
c_0,0.7,0.88,0.8,0.39,0.46,0.53,1.31,1.68,1.2,2.86,2.84,1.45,2.23,1.33,1.34,1.74
b_0,0.8,0.79,0.79,0.76,0.34,0.36,1.42,1.59,1.21,1.4,2.88,1.44,2.09,2.62,1.2,1.59
f_0,0.69,0.87,0.43,0.7,0.62,0.51,1.45,1.5,1.45,1.64,1.58,3.03,1.61,1.46,2.63,1.71
h_0,0.69,0.89,0.89,0.81,0.49,0.51,0.82,1.42,1.51,1.38,1.2,1.21,1.14,1.29,1.08,2.33
a_0,0.74,0.84,0.71,0.78,0.71,0.19,1.38,1.49,1.45,1.32,1.26,1.41,2.15,2.97,1.24,1.33
e_0,0.43,0.84,0.79,0.72,0.61,0.41,1.51,1.89,1.27,1.63,1.65,1.35,2.32,1.55,3.35,2.32
g_0,0.55,1.23,0.68,0.59,0.55,0.46,1.27,1.39,0.8,1.73,1.49,1.81,1.75,1.28,1.31,1.04
