,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,1.49,1.07,1.2,1.41,1.11,0.55,0.83,0.56,0.53,0.55,1.55,0.42,0.65,0.54,0.59
e_1,0.79,0.41,1.4,1.41,1.25,1.37,0.77,0.71,0.64,0.7,0.67,0.64,0.54,0.59,0.59,1.63
d_1,1.4,1.32,0.41,1.1,1.26,1.26,0.62,0.57,0.69,1.39,0.62,0.59,0.49,0.56,0.36,0.54
c_1,1.45,1.17,1.56,0.38,1.39,1.28,0.68,0.57,0.88,0.37,0.52,0.55,0.49,0.55,0.53,0.49
b_1,1.31,1.33,1.36,0.84,0.37,1.55,0.87,0.73,0.66,0.56,1.13,0.54,0.51,0.54,0.53,0.6
a_1,1.47,1.23,1.54,1.57,0.87,0.31,0.72,0.74,0.46,0.53,0.65,0.51,0.59,1.29,0.42,0.64
h_1,1.1,0.92,0.97,1.05,0.81,0.93,0.26,0.59,0.44,0.47,0.43,0.34,0.62,0.4,0.36,0.37
g_1,1.02,1.02,0.88,1.24,1.08,0.99,0.42,0.23,0.43,0.37,0.37,0.53,0.26,0.34,0.53,0.41
c_0,1.11,0.92,0.59,2.42,0.98,1.09,0.48,0.49,0.27,0.53,0.51,0.5,0.34,0.47,0.39,0.41
d_0,1.1,0.53,1.53,1.21,1.15,0.99,0.5,0.58,0.39,0.27,0.4,0.38,0.37,0.51,0.39,0.39
b_0,1.02,1.06,0.78,1.18,1.44,0.78,0.5,0.48,0.26,0.45,0.25,0.38,0.36,0.46,0.38,0.42
f_0,1.5,0.9,1.0,0.96,1.01,0.9,0.69,0.35,0.4,0.44,0.41,0.25,0.33,0.36,0.28,0.43
h_0,0.98,0.85,0.95,1.37,0.82,0.8,0.79,0.6,0.44,0.43,0.45,0.45,0.58,0.44,0.4,0.36
a_0,0.9,0.95,0.94,1.18,1.25,1.27,0.55,0.57,0.35,0.46,0.27,0.4,0.29,0.21,0.35,0.38
g_0,0.99,0.84,1.0,0.92,1.02,1.03,0.4,0.71,0.4,0.44,0.41,0.48,0.29,0.44,0.63,0.66
e_0,1.43,1.33,0.93,1.05,0.88,0.77,0.49,0.53,0.45,0.4,0.35,0.22,0.47,0.6,0.24,0.2
