,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.96,0.91,0.59,0.59,0.45,0.35,0.38,0.37,0.36,0.39,0.32,0.36,0.33,0.2,0.25,0.28
e_1,0.62,0.96,0.6,0.71,0.56,0.35,0.44,0.4,0.35,0.57,0.41,0.38,0.36,0.26,0.28,0.3
d_1,0.71,0.62,0.96,0.49,0.57,0.4,0.44,0.33,0.59,0.3,0.35,0.42,0.33,0.3,0.26,0.25
c_1,0.7,0.59,0.65,0.95,0.88,0.44,0.44,0.4,0.29,0.33,0.37,0.31,0.34,0.27,0.26,0.3
b_1,0.8,0.63,0.66,0.5,0.95,0.63,0.45,0.38,0.44,0.37,0.38,0.34,0.38,0.29,0.27,0.3
a_1,0.9,0.76,0.79,0.68,0.61,0.94,0.58,0.4,0.5,0.41,0.38,0.49,0.42,0.36,0.3,0.36
h_1,1.15,0.95,0.97,0.83,0.8,0.52,0.81,0.6,0.51,0.51,0.54,0.49,0.46,0.39,0.44,0.56
g_1,0.94,0.85,1.25,0.86,0.85,0.58,0.64,0.8,0.6,0.49,0.72,0.55,0.47,0.43,0.44,0.43
c_0,1.12,1.14,0.94,0.91,0.72,0.58,0.72,0.63,0.75,0.69,0.62,0.93,0.6,0.48,0.52,0.51
d_0,1.08,0.92,0.95,1.42,0.98,0.59,0.71,0.59,0.45,0.73,0.57,0.55,0.55,0.47,0.43,0.53
f_0,0.89,0.85,1.2,0.99,0.98,0.68,0.71,0.61,0.68,0.61,0.75,0.62,0.64,0.81,0.49,0.48
b_0,1.09,1.04,1.05,1.05,0.8,0.58,0.72,0.63,0.55,0.65,0.6,0.73,0.63,0.52,0.75,0.51
h_0,1.33,1.19,1.23,1.12,0.89,0.62,0.68,0.84,0.68,0.64,0.59,0.64,0.54,0.42,0.44,0.6
e_0,1.42,1.05,1.2,1.05,1.0,0.73,0.82,0.7,0.71,0.61,0.49,0.67,0.73,0.71,0.54,0.56
a_0,1.27,1.16,1.29,1.05,0.94,0.6,0.76,0.69,0.74,0.64,0.72,0.61,0.73,0.52,0.69,0.59
g_0,1.13,1.15,1.59,1.13,1.04,0.72,0.67,0.73,0.73,0.58,0.88,0.75,0.65,0.61,0.53,0.49
