,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.07,2.28,3.37,3.33,3.03,3.08,1.27,1.19,1.1,0.86,1.13,0.9,0.7,0.87,2.86,0.73
f_1,3.7,1.06,3.11,3.29,2.95,3.12,0.94,1.46,0.94,0.92,1.71,0.78,0.57,0.79,0.7,0.92
d_1,3.75,3.76,1.07,3.61,3.55,2.67,1.22,0.9,2.4,1.01,0.79,1.05,0.72,0.89,0.79,0.49
c_1,3.52,3.48,4.09,1.07,4.59,2.32,1.32,1.49,0.61,1.9,0.98,1.02,0.77,0.74,0.97,0.76
b_1,4.38,4.91,4.19,2.23,1.07,4.37,1.49,1.68,1.21,1.76,1.2,2.23,0.95,1.12,0.9,1.03
a_1,4.7,5.48,6.45,7.15,2.76,1.07,2.73,1.7,1.74,1.54,1.69,1.85,1.38,2.77,2.21,1.19
h_1,7.1,8.76,6.92,7.63,7.86,6.22,1.38,3.37,2.17,1.97,2.38,2.02,3.88,1.89,1.64,1.46
g_1,8.81,8.83,8.07,7.6,6.98,8.4,2.28,1.38,3.55,2.73,2.49,2.43,1.56,2.83,2.3,2.78
d_0,5.71,9.08,15.59,11.17,7.66,6.46,3.88,2.97,1.66,2.46,2.44,2.56,2.68,2.36,2.36,1.99
c_0,10.79,9.72,5.7,16.86,7.95,7.43,4.21,3.21,3.68,1.62,3.02,3.05,2.31,2.26,2.17,2.4
f_0,8.44,21.05,11.8,9.62,8.46,7.81,3.58,2.54,3.57,2.58,1.59,3.47,2.58,2.08,3.51,1.39
b_0,10.44,10.88,7.01,12.58,21.13,9.16,3.64,3.71,3.78,1.78,2.6,1.6,3.01,3.05,2.0,2.35
h_0,12.82,12.36,11.65,12.4,10.83,8.84,6.64,5.21,3.06,3.44,3.35,2.93,4.12,2.48,2.66,2.55
a_0,11.45,16.95,12.35,13.02,13.06,,4.8,3.7,4.34,4.98,3.9,2.37,3.52,1.74,4.46,2.48
e_0,14.81,18.68,13.21,12.02,13.52,9.95,5.0,3.89,3.93,3.83,2.0,4.66,3.54,3.3,1.63,2.55
g_0,14.33,13.26,15.06,16.24,13.28,11.03,5.41,6.74,4.7,3.35,4.83,4.14,2.76,5.04,3.61,4.86
