,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.43,0.61,0.66,0.65,0.54,0.34,0.29,0.35,0.33,0.27,0.34,0.23,0.28,0.32,0.26
f_1,0.63,0.41,0.57,0.63,0.55,0.56,0.26,0.25,0.33,0.27,0.25,0.3,0.19,0.24,0.21,0.23
d_1,0.6,0.68,0.39,0.57,0.56,0.57,0.31,0.31,0.23,0.32,0.26,0.26,0.22,0.27,0.29,0.18
c_1,0.5,0.59,0.71,0.36,0.64,0.58,0.33,0.31,0.35,0.18,0.27,0.26,0.23,0.24,0.27,0.21
b_1,0.6,0.65,0.64,0.4,0.34,0.69,0.32,0.31,0.3,0.25,0.3,0.26,0.23,0.25,0.27,0.24
a_1,0.64,0.62,0.6,0.57,0.36,0.31,0.36,0.3,0.33,0.28,0.4,0.3,0.25,0.43,0.28,0.24
h_1,0.55,0.62,0.56,0.59,0.56,0.46,0.23,0.24,0.33,0.27,0.25,0.25,0.26,0.25,0.24,0.24
c_0,0.59,0.66,0.41,0.7,0.59,0.53,0.33,0.22,0.29,0.31,0.3,0.25,0.23,0.27,0.25,0.22
g_1,0.58,0.61,0.61,0.54,0.56,0.48,0.26,0.24,0.21,0.24,0.25,0.26,0.18,0.26,0.25,0.23
d_0,0.43,0.56,0.63,0.69,0.64,0.55,0.32,0.25,0.34,0.23,0.27,0.24,0.22,0.26,0.28,0.23
b_0,0.6,0.57,0.52,0.63,0.66,0.48,0.33,0.18,0.3,0.24,0.21,0.25,0.2,0.33,0.25,0.2
f_0,0.52,0.69,0.55,0.59,0.56,0.47,0.28,0.25,0.24,0.26,0.25,0.21,0.24,0.27,0.3,0.17
h_0,0.56,0.58,0.52,0.56,0.55,0.5,0.33,0.24,0.33,0.25,0.28,0.26,0.24,0.24,0.23,0.23
a_0,0.56,0.64,0.5,0.67,0.67,0.54,0.3,0.22,0.29,0.25,0.16,0.23,0.22,0.19,0.23,0.2
e_0,0.6,0.79,0.51,0.59,0.56,0.46,0.28,0.25,0.3,0.24,0.26,0.16,0.23,0.25,0.18,0.2
g_0,0.53,0.6,0.57,0.59,0.56,0.55,0.24,0.25,0.37,0.23,0.27,0.28,0.19,0.26,0.25,0.24
