,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,9.14,0.79,0.56,1.0,0.65,0.7,0.89,2.44,0.96,0.77,1.04,0.9,0.99,1.08,1.03,0.74
f_1,1.72,10.22,0.63,0.67,0.58,0.66,0.83,1.0,0.89,0.93,0.89,0.57,0.87,0.95,0.81,0.64
d_1,0.66,0.8,13.08,0.49,0.63,0.65,1.04,0.58,0.83,2.6,1.3,1.08,1.16,1.16,1.13,1.05
c_1,0.54,0.59,0.73,11.97,1.8,0.76,0.89,0.76,0.87,0.52,0.65,0.9,0.82,0.83,0.73,1.06
b_1,0.55,0.59,0.76,0.64,15.42,1.9,1.01,0.7,1.02,0.88,0.61,1.1,0.72,1.0,0.94,1.07
a_1,0.72,0.72,0.77,0.73,0.59,19.4,1.22,0.81,1.06,1.0,1.08,1.13,0.62,0.97,1.23,0.87
h_1,0.76,1.33,0.96,0.62,0.74,0.67,2.84,0.77,1.21,0.97,0.88,0.98,0.96,0.77,1.46,1.16
d_0,0.59,0.82,0.53,2.65,0.85,0.68,0.97,1.8,0.95,0.61,1.03,0.94,1.03,0.94,0.94,1.1
g_1,0.61,0.54,1.74,0.81,0.72,0.63,1.03,0.78,4.03,1.06,1.24,2.34,1.19,0.97,0.84,1.48
c_0,0.91,0.93,0.82,0.77,0.61,0.59,1.03,1.18,1.0,2.06,3.0,1.31,1.58,1.21,1.47,1.14
b_0,0.73,0.99,0.9,0.96,0.6,0.44,1.04,1.21,1.08,0.84,2.22,1.3,3.08,1.07,1.09,1.16
f_0,0.58,0.66,1.08,0.89,0.85,0.71,0.89,1.0,1.01,0.92,1.2,2.68,1.26,1.33,1.37,3.4
a_0,0.68,0.85,1.14,1.16,0.82,0.44,1.16,1.1,1.18,0.93,1.03,1.25,3.06,1.09,1.15,1.6
h_0,0.76,1.22,0.89,0.83,0.61,0.9,0.86,1.11,1.66,0.86,1.02,1.01,1.17,0.67,1.58,1.06
g_0,0.56,0.68,1.7,0.8,0.74,0.62,1.12,0.82,0.73,0.92,1.23,1.88,1.4,1.0,0.83,1.32
e_0,0.48,1.1,0.87,0.8,0.92,0.84,1.0,0.97,1.18,1.12,1.09,1.04,1.23,1.26,1.02,2.75
