,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,1.86,1.69,1.53,1.3,1.14,0.47,0.63,0.52,0.48,0.46,0.48,0.32,0.42,0.36,0.37
e_1,1.16,1.05,1.96,1.63,2.03,1.52,0.67,0.69,0.69,0.5,0.5,0.66,0.46,0.46,0.4,0.65
c_1,1.82,1.51,1.05,2.1,1.77,1.52,0.74,0.67,0.35,0.55,0.48,0.51,0.39,0.42,0.42,0.47
d_1,1.98,1.98,1.91,1.05,1.74,1.58,0.63,0.46,0.67,0.57,0.47,0.49,0.39,0.47,0.28,0.43
b_1,2.85,1.92,1.36,2.33,1.06,2.02,0.89,0.83,0.65,0.81,0.9,0.6,0.52,0.58,0.52,0.43
a_1,3.3,2.9,2.78,2.65,1.72,1.06,1.12,1.13,1.08,0.83,0.87,1.03,0.81,1.02,0.67,0.69
h_1,5.63,4.84,4.6,4.86,4.26,3.83,1.28,1.87,1.47,1.47,1.46,1.37,1.4,1.18,1.15,1.21
g_1,5.89,5.83,5.46,5.61,5.12,4.6,1.81,1.3,1.64,1.53,1.61,1.6,1.05,1.58,1.23,1.4
d_0,5.42,3.74,6.88,7.05,5.77,4.29,2.38,2.16,1.4,1.39,1.72,1.76,1.42,1.64,1.45,1.65
c_0,6.59,6.73,9.25,4.14,5.63,5.12,2.31,2.31,2.6,1.43,1.95,1.81,1.63,2.22,1.47,1.91
b_0,7.2,6.77,9.23,5.85,7.73,5.87,2.47,2.07,2.07,1.14,1.42,1.66,1.48,1.9,1.26,1.49
f_0,9.14,6.69,7.02,6.06,6.55,5.68,2.74,1.8,2.12,1.83,2.01,1.42,1.68,1.81,1.03,2.06
h_0,8.51,6.99,7.48,6.84,6.58,5.37,2.73,2.62,2.21,1.84,2.02,1.77,2.01,1.94,1.58,1.68
a_0,8.21,7.96,8.93,8.4,10.7,8.29,3.04,2.45,2.39,1.74,1.48,2.2,1.83,1.48,1.63,2.06
g_0,10.34,9.18,9.24,9.22,8.42,7.14,2.93,3.64,2.73,2.27,2.43,2.81,1.85,2.45,2.21,2.4
e_0,13.29,9.71,9.97,8.77,10.78,10.41,4.09,2.8,2.79,2.24,2.74,1.53,2.25,2.1,1.71,1.45
