,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.04,1.09,1.01,0.92,1.17,0.93,1.13,1.5,1.08,1.15,1.06,1.04,1.16,1.11
f_1,1.25,1.0,0.96,0.96,0.9,1.01,0.79,0.94,0.9,0.89,0.94,0.85,0.82,0.92,0.77,0.95
d_1,0.97,1.04,1.0,0.97,0.99,1.09,1.05,1.35,0.91,0.99,0.93,0.94,1.02,0.94,1.15,0.78
c_1,0.91,1.05,1.04,1.0,1.37,0.81,0.97,0.92,1.13,0.69,0.99,0.96,0.99,0.86,0.96,1.05
b_1,0.99,1.11,1.02,0.74,1.0,1.48,1.09,0.94,0.79,0.98,0.67,0.97,1.0,0.88,1.01,1.04
a_1,1.08,1.01,0.92,1.23,0.67,1.0,1.15,1.04,1.04,0.96,1.34,1.13,1.31,1.86,1.07,1.28
h_1,0.87,1.23,0.96,0.99,0.96,0.89,1.0,0.86,1.3,1.03,1.07,1.02,0.99,0.93,0.93,1.2
c_0,1.03,1.07,0.79,1.02,1.01,0.94,1.17,1.0,1.08,1.09,1.36,1.05,1.13,1.13,1.01,1.02
g_1,0.9,1.1,1.18,0.91,1.17,0.94,0.76,0.96,1.0,0.85,0.98,1.23,0.78,1.01,0.85,0.87
d_0,0.7,1.04,0.94,1.42,1.05,1.06,0.97,0.9,1.16,1.0,1.07,0.87,1.1,0.95,1.06,1.15
b_0,0.94,1.04,1.07,1.0,1.31,0.79,0.98,0.74,0.99,0.97,1.0,1.0,0.92,1.65,0.99,1.01
f_0,0.83,1.13,1.09,1.15,0.99,0.9,0.99,0.94,0.83,1.1,0.94,1.0,1.12,1.1,1.37,0.88
h_0,0.99,1.15,1.01,0.98,0.99,0.79,1.01,0.86,1.3,0.93,1.1,0.9,1.0,0.89,0.88,1.12
a_0,0.93,1.03,1.07,1.18,1.18,0.6,1.09,0.9,0.96,1.06,0.64,0.93,1.18,1.0,0.94,0.95
e_0,0.86,1.35,0.85,1.05,0.93,0.89,1.05,1.01,1.12,0.92,1.02,0.75,1.13,1.01,1.0,0.93
g_0,0.91,1.02,1.25,1.0,0.93,0.86,0.81,0.97,1.15,0.82,1.02,1.18,0.86,1.02,1.01,1.0
