,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,114.02,48.35,56.29,73.32,99.75,233.74,7476.36,26808.65,15919.16,18236.76,23004.65,36527.09,80736.48,167402.14,79885.96,163210.03
d_1,47.19,121.26,57.15,50.88,93.68,291.1,7407.18,10136.62,25761.39,14224.67,27659.9,34445.9,81253.27,107319.11,142607.12,152729.4
f_1,74.83,50.36,123.91,63.19,73.35,337.53,6332.77,12348.56,14066.33,14021.12,20417.89,14977.12,76638.62,121788.59,92336.52,138277.22
c_1,44.81,49.66,54.56,128.03,172.53,242.51,8127.45,11058.54,8397.2,14230.03,18125.28,33165.92,70212.09,111260.3,103540.13,119534.5
b_1,42.53,48.06,56.3,34.41,194.16,465.25,5644.06,11408.07,11878.57,13131.87,11493.92,23629.64,64144.78,97954.65,67993.65,87818.25
a_1,34.66,32.28,33.1,36.38,33.16,497.54,4877.26,8955.95,9306.72,10144.12,15857.4,20826.02,41385.41,72079.55,53582.85,54173.57
h_1,13.86,14.84,18.35,15.73,25.21,68.93,3326.66,3815.98,3877.28,4771.22,5865.51,8069.28,15757.22,37106.74,28735.5,40793.78
d_0,8.79,7.38,14.73,22.93,22.23,62.84,1740.39,4743.85,2608.31,3327.73,5496.72,6174.99,17069.68,25660.33,21623.79,35003.56
c_0,11.61,11.81,13.13,11.62,20.4,66.12,1580.58,3572.49,4985.19,3039.87,8674.43,7936.23,16397.19,27966.96,26641.4,33866.37
g_1,8.12,16.81,10.48,13.27,19.09,47.86,1510.32,2945.35,3390.37,6040.04,5286.38,9941.67,11999.9,22044.92,24182.93,27523.51
b_0,9.25,10.84,12.22,12.6,14.52,41.68,1746.87,2611.7,2567.93,2809.34,7031.47,6621.62,16077.42,26470.38,18484.75,47288.02
f_0,8.54,10.89,6.72,10.32,19.24,47.43,1467.61,2788.38,2877.0,2247.91,4471.63,8566.46,14076.94,24548.88,27976.22,24287.69
h_0,7.5,8.01,9.7,8.27,11.95,38.59,774.42,2079.71,2149.97,2877.99,3119.02,4330.78,7967.0,21532.76,11989.44,16704.37
g_0,4.6,9.7,5.67,7.79,10.56,35.67,925.05,1642.55,1802.6,1577.12,2375.41,5022.87,8233.6,10553.18,11053.6,15328.3
e_0,3.92,6.22,7.12,7.73,12.19,40.77,966.76,1656.6,2028.39,1742.07,3365.63,3904.0,12069.5,18305.63,22839.71,16024.68
a_0,4.84,6.07,5.7,7.42,11.92,27.36,865.46,1680.05,1722.38,1828.79,2317.4,3774.88,9758.72,14537.45,12337.92,26149.46
