,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.85,0.85,0.85,0.72,0.42,0.38,0.46,0.46,0.35,,0.28,0.29,0.36,0.32
e_1,0.8,1.0,0.88,0.86,0.76,0.68,0.52,0.6,0.47,0.53,0.34,0.39,0.3,0.32,,0.35
c_1,1.18,1.14,1.0,0.92,1.23,0.76,0.49,0.35,0.39,,0.45,0.44,0.4,0.29,0.26,0.32
d_1,1.17,1.16,1.08,1.0,0.94,0.76,0.46,,0.39,0.49,0.42,0.34,0.4,0.46,0.24,0.31
b_1,1.17,1.32,0.82,1.06,1.0,1.11,0.7,0.48,0.51,0.37,,0.39,0.44,0.3,0.25,0.4
a_1,1.39,1.47,1.32,1.32,0.9,1.0,0.76,0.64,,0.67,0.52,0.52,0.38,,,
h_1,2.38,1.94,2.03,2.19,1.43,1.31,1.0,0.97,0.91,0.87,0.85,0.64,,0.78,0.7,0.54
d_0,2.63,1.67,2.89,,2.09,1.57,1.03,1.0,1.02,0.85,0.95,0.97,1.03,0.67,0.77,0.75
g_1,2.19,2.12,2.58,2.54,1.96,,1.1,0.98,1.0,1.14,1.2,1.3,0.62,0.81,0.69,
c_0,2.17,1.88,,2.04,2.7,1.49,1.15,1.17,0.87,1.0,1.38,0.97,0.94,0.69,0.7,0.76
b_0,2.9,2.94,2.22,2.38,,1.92,1.17,1.06,0.83,0.72,1.0,0.92,0.81,,0.81,0.88
f_0,,2.59,2.26,2.91,2.55,1.91,1.56,1.03,0.77,1.03,1.09,1.0,1.13,1.3,1.35,0.52
h_0,3.58,3.33,2.51,2.48,2.28,2.65,,0.97,1.61,1.06,1.24,0.89,,0.89,0.8,1.27
a_0,3.46,3.1,3.43,2.18,3.34,,1.29,1.48,1.24,1.46,,0.77,1.12,1.0,,1.17
e_0,2.77,,3.91,4.11,3.96,,1.43,1.29,1.45,1.43,1.23,0.74,1.25,,1.0,
g_0,3.15,2.85,3.1,3.18,2.53,,1.87,1.33,,1.32,1.14,1.93,0.79,0.86,,
