,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.22,0.45,0.22,0.2,0.19,0.14,0.41,0.35,0.42,0.38,0.47,0.1,0.6,0.22,0.36,0.44
e_1,0.25,2.27,0.21,0.25,0.15,0.14,0.43,0.4,0.41,0.92,0.59,0.52,0.58,0.13,0.35,0.51
d_1,0.25,0.19,2.28,0.19,0.26,0.17,0.4,0.33,1.04,0.1,0.47,0.47,0.48,0.44,0.31,0.39
c_1,0.24,0.22,0.2,2.49,0.38,0.16,0.4,0.38,0.1,0.47,0.42,0.43,0.55,0.36,0.3,0.47
b_1,0.26,0.2,0.27,0.18,2.52,0.29,0.4,0.39,0.39,0.5,0.15,0.53,0.5,0.35,0.29,0.43
a_1,0.27,0.16,0.23,0.25,0.18,3.19,0.47,0.3,0.57,0.49,0.47,0.35,0.6,0.46,,0.54
h_1,0.51,0.35,0.42,0.4,0.35,0.28,2.77,0.69,0.62,0.71,0.68,0.92,0.4,0.54,0.74,1.27
g_1,0.4,0.33,0.7,0.32,0.32,0.22,0.69,3.05,0.58,0.48,0.82,1.27,0.84,0.57,0.68,0.36
c_0,0.5,0.43,0.43,0.12,0.36,0.25,0.77,0.68,2.24,0.79,1.52,0.95,1.04,0.76,0.86,1.13
d_0,0.48,0.38,0.17,0.76,0.34,0.27,0.75,0.65,0.62,2.26,0.84,0.73,1.04,0.82,0.63,0.91
b_0,0.41,0.5,0.42,0.4,0.14,0.21,0.94,0.71,0.78,1.07,2.29,0.94,1.28,0.78,1.66,0.79
f_0,0.15,0.35,0.55,0.45,0.39,0.24,0.6,0.67,0.91,0.96,0.91,2.5,1.32,1.46,0.75,1.12
h_0,0.58,0.48,0.45,0.4,0.23,0.22,0.26,0.87,0.8,0.76,0.8,0.77,0.36,0.51,0.74,1.08
e_0,0.59,0.13,0.48,0.34,0.36,0.37,1.09,0.6,1.07,0.67,0.82,0.63,1.39,2.95,0.9,0.95
a_0,0.45,0.32,0.5,0.35,0.36,,0.75,0.74,1.08,0.75,0.96,0.78,1.07,0.9,2.75,1.39
g_0,0.25,0.38,0.62,0.41,0.34,0.29,0.64,0.36,0.91,0.66,0.83,1.27,1.09,0.67,0.81,0.43
