,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.05,1.68,1.75,1.46,1.57,1.29,0.5,0.48,0.57,0.43,0.41,0.48,0.31,0.36,0.39,0.38
e_1,1.22,1.05,1.73,1.49,1.67,1.47,0.66,0.68,0.76,0.49,0.48,0.64,0.4,0.62,0.45,0.41
c_1,1.67,1.62,1.05,2.15,1.97,1.53,0.7,0.36,0.65,0.53,0.5,0.46,0.35,0.4,0.4,0.37
d_1,2.24,2.34,1.8,1.05,1.75,1.46,0.77,0.82,0.48,0.65,0.61,0.54,0.45,0.53,0.6,0.3
b_1,2.31,2.21,1.36,2.22,1.06,2.34,0.77,0.65,0.69,0.83,0.69,0.6,0.46,0.48,0.48,0.41
a_1,3.01,2.88,2.44,3.01,1.41,1.06,1.16,1.0,1.01,0.82,1.04,0.71,0.66,0.66,0.89,0.64
h_1,5.33,4.57,4.81,4.07,4.87,3.4,1.27,1.36,1.69,1.28,1.23,1.31,1.16,1.08,1.14,0.96
d_0,5.58,3.54,6.94,6.88,5.67,4.16,2.28,1.39,2.37,1.59,1.41,1.4,1.32,1.72,1.45,1.23
g_1,6.44,4.88,5.77,6.33,6.04,4.89,1.87,1.62,1.29,1.64,1.58,1.72,1.05,1.54,1.27,1.25
c_0,7.45,6.34,9.14,3.7,5.4,5.53,2.29,2.57,2.13,1.41,2.34,1.89,1.37,1.63,1.78,1.26
b_0,7.62,6.35,9.13,5.42,8.12,4.77,2.82,2.3,2.49,1.19,1.44,1.75,1.41,1.79,1.96,1.33
f_0,8.85,6.28,7.82,7.12,6.54,5.42,2.52,2.43,1.86,1.95,1.94,1.44,1.63,1.92,1.59,0.98
h_0,9.63,8.11,9.86,7.82,7.71,5.91,3.96,2.46,3.24,2.43,2.3,2.28,2.22,2.0,1.94,1.88
e_0,11.23,9.73,9.91,8.02,8.0,7.11,3.15,2.51,3.03,2.68,2.38,1.57,1.87,1.52,2.15,1.59
a_0,9.0,8.61,10.01,7.71,10.47,8.34,3.76,2.63,3.38,2.23,1.61,3.01,2.27,2.57,1.52,1.81
g_0,11.36,9.89,10.63,10.23,9.26,7.05,3.26,3.24,3.72,3.12,2.74,2.83,1.78,2.34,2.42,2.25
