,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,107.95,78.64,63.58,80.66,124.59,234.05,7276.26,14739.43,18692.82,16292.28,30991.58,31729.76,65782.46,77802.28,199177.08,116400.41
e_1,53.58,108.74,58.93,84.14,115.68,270.78,10778.67,15911.65,32601.01,22034.69,37970.3,60212.34,84660.51,93720.39,214676.72,138236.85
d_1,53.49,49.63,124.02,65.26,106.16,296.44,7992.97,13416.35,12429.04,32141.02,37152.45,49043.65,68472.58,97854.21,170609.74,184100.39
c_1,48.95,48.41,56.33,143.59,176.37,225.42,7078.33,12036.23,14619.22,10559.45,21462.25,40447.61,64123.82,79621.8,160108.35,125914.92
b_1,39.13,39.07,52.75,50.82,212.96,360.54,6705.8,12282.23,15664.98,13695.37,13777.77,41457.08,46709.83,71759.05,143423.39,137645.11
a_1,33.99,31.5,39.17,45.14,64.01,422.36,6225.23,9996.45,11122.37,12202.04,17072.41,28232.52,36904.96,66956.14,115136.07,96482.89
h_1,18.13,12.21,16.63,20.56,28.35,60.56,3486.77,4977.15,5150.45,5287.19,7546.56,11459.24,16199.9,19072.72,61958.09,43969.88
g_1,10.39,11.27,20.24,17.03,21.04,50.73,1495.36,5568.42,2814.38,3903.84,6283.66,12161.41,12259.79,16927.02,37101.26,31030.26
d_0,10.8,9.07,10.34,26.11,25.83,53.62,1740.05,3537.53,5492.07,3244.66,6163.59,9346.82,14998.76,19309.77,36577.56,31375.24
c_0,12.77,11.2,11.06,12.11,21.22,54.34,1721.01,3531.97,4648.75,5694.77,12314.09,11571.53,18033.37,19912.89,39798.02,37953.37
b_0,10.62,8.77,10.58,15.54,18.82,40.43,1632.66,2757.88,3701.99,2782.3,7871.72,7238.37,23839.98,19801.56,36740.76,30288.04
f_0,7.29,6.75,10.42,12.93,17.52,46.5,1471.76,2151.03,3348.0,2827.37,5323.44,10980.37,11173.88,14357.84,28085.65,50756.83
a_0,8.74,6.88,8.42,10.65,16.27,24.06,1295.51,2449.4,2713.6,2255.31,4094.86,6340.36,15640.96,12074.07,25646.54,16674.74
h_0,10.15,7.05,8.64,10.39,14.78,26.11,829.2,2767.68,2287.73,2330.41,3643.49,6049.93,9342.92,9464.0,30590.0,21431.45
g_0,5.22,5.27,8.47,7.55,11.35,28.27,858.83,1270.75,2064.87,1858.87,2853.97,6756.96,8217.67,9172.22,16539.01,18606.15
e_0,6.2,4.75,6.47,9.48,11.31,24.49,850.31,1809.81,2062.33,1984.08,3401.92,3132.93,9363.42,9781.59,21470.84,29478.88
