,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,2.38,4.53,3.95,5.32,4.65,1.32,1.83,0.89,1.11,0.79,1.2,0.66,0.74,3.9,0.84
f_1,4.66,0.44,3.96,4.4,3.51,5.58,0.88,1.52,0.88,0.92,0.85,3.71,0.4,0.86,0.95,0.59
d_1,5.08,3.91,0.44,6.7,4.84,3.81,1.08,0.66,0.78,5.94,1.04,0.81,0.59,0.63,0.94,0.43
c_1,4.1,4.62,6.29,0.42,4.17,4.14,1.33,1.62,3.39,0.43,1.21,0.83,0.77,0.99,0.92,0.72
b_1,6.02,6.04,6.45,2.34,0.38,5.82,1.36,1.43,1.38,1.05,3.42,1.23,0.83,0.93,0.96,0.71
a_1,6.13,8.65,6.92,9.02,2.66,0.31,2.48,1.99,1.12,1.77,1.87,1.43,1.26,7.88,1.1,1.2
h_1,4.5,5.37,3.59,6.08,6.27,4.04,0.36,1.45,0.94,1.09,1.04,0.94,1.6,1.33,1.04,0.73
g_1,5.38,6.53,4.43,5.21,5.85,5.85,1.31,0.33,0.96,1.29,1.26,1.1,0.62,1.69,0.93,1.72
c_0,5.08,5.87,2.94,23.65,6.8,6.12,1.57,1.41,0.45,1.26,1.03,0.99,0.93,1.08,0.86,0.91
d_0,2.69,6.95,19.85,5.33,6.34,5.49,2.02,2.28,1.33,0.44,1.09,0.96,0.91,1.15,0.87,0.78
b_0,4.85,5.25,4.87,6.49,21.75,7.8,1.47,2.2,0.69,1.24,0.41,1.0,0.96,1.17,1.03,0.74
f_0,5.51,15.93,4.78,6.25,8.16,5.99,2.37,1.08,1.07,1.12,1.1,0.4,0.86,1.42,1.07,0.53
h_0,6.59,7.27,7.6,7.09,8.48,4.34,5.37,1.8,1.32,1.56,1.11,1.16,2.58,1.16,1.27,1.08
a_0,7.01,9.14,6.76,6.5,9.37,,2.28,2.01,1.46,1.34,0.78,1.26,0.96,0.39,1.47,0.83
e_0,17.29,9.6,7.22,6.86,7.4,7.41,2.45,2.03,1.24,1.21,1.01,0.54,0.76,1.59,0.34,1.17
g_0,6.03,10.06,7.57,8.12,10.52,5.69,1.57,4.17,1.37,1.54,1.61,1.59,0.88,1.5,1.16,2.29
