,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.82,0.51,0.45,0.44,0.29,0.35,0.35,0.27,0.33,0.31,0.23,0.26,0.25,0.2,0.28
e_1,0.57,0.95,0.65,0.47,0.46,0.38,0.39,0.55,0.31,0.33,0.32,0.33,0.31,0.23,0.23,0.27
c_1,0.61,0.54,0.95,0.54,0.78,0.35,0.36,0.29,0.28,0.23,0.27,0.26,0.32,0.25,0.18,0.27
d_1,0.66,0.61,0.49,0.95,0.45,0.4,0.38,0.3,0.32,0.51,0.38,0.27,0.34,0.27,0.21,0.25
b_1,0.67,0.56,0.5,0.62,0.95,0.66,0.43,0.33,0.31,0.34,0.26,0.3,0.35,0.21,0.23,0.3
a_1,0.77,0.6,0.69,0.66,0.44,0.94,0.52,0.42,0.4,0.39,0.4,0.38,0.38,0.22,0.32,0.31
h_1,1.11,0.83,0.81,0.81,0.67,0.47,0.77,0.5,0.54,0.46,0.5,0.38,0.39,0.38,0.37,0.47
d_0,0.94,0.72,1.39,0.69,0.79,0.57,0.56,0.69,0.53,0.43,0.54,0.44,0.57,0.42,0.44,0.42
g_1,0.99,0.85,0.91,1.1,0.77,0.52,0.56,0.47,0.77,0.5,0.5,0.6,0.48,0.42,0.41,0.38
c_0,1.02,0.93,0.83,0.8,0.67,0.54,0.65,0.62,0.54,0.71,0.91,0.49,0.61,0.55,0.44,0.48
b_0,1.05,0.96,1.06,0.82,0.7,0.47,0.66,0.62,0.5,0.44,0.71,0.5,0.59,0.8,0.44,0.45
f_0,0.95,0.85,1.02,0.98,0.91,0.59,0.71,0.65,0.5,0.53,0.54,0.69,0.68,0.54,0.81,0.38
h_0,1.45,1.08,0.87,0.97,0.78,0.59,0.59,0.56,0.67,0.5,0.57,0.46,0.47,0.4,0.44,0.57
a_0,1.15,1.15,1.07,0.99,0.9,0.54,0.64,0.64,0.55,0.59,0.41,0.47,0.63,0.68,0.45,0.53
e_0,1.13,0.83,1.2,1.16,0.94,0.64,0.71,0.54,0.65,0.63,0.64,0.4,0.64,0.49,0.65,0.46
g_0,1.05,0.99,1.06,1.4,0.94,0.67,0.64,0.63,0.5,0.59,0.57,0.75,0.54,0.43,0.55,0.44
