,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.6,0.88,0.98,0.88,0.92,0.54,0.54,0.43,0.49,0.37,0.46,0.36,0.39,0.39,0.6
f_1,0.88,0.4,0.73,0.83,0.94,0.93,0.38,0.4,0.4,0.46,0.4,0.53,0.25,0.44,0.42,0.4
d_1,0.92,0.96,0.4,1.03,0.79,0.78,0.44,0.61,0.43,0.34,0.41,0.38,0.33,0.41,0.21,0.33
c_1,0.74,0.94,0.87,0.39,1.07,0.79,0.48,0.26,0.45,0.47,0.35,0.39,0.35,0.37,0.34,0.38
b_1,0.91,0.92,1.08,0.53,0.37,1.06,0.49,0.39,0.47,0.56,0.55,0.37,0.38,0.42,0.34,0.41
a_1,0.98,0.97,0.92,0.91,0.52,0.31,0.52,0.41,0.4,0.59,0.59,0.38,0.37,0.64,0.4,0.37
h_1,0.78,0.86,0.76,0.87,0.77,0.65,0.25,0.38,0.33,0.45,0.37,0.3,0.38,0.32,0.34,0.3
d_0,0.48,0.83,1.21,0.93,0.84,0.74,0.42,0.26,0.34,0.45,0.38,0.35,0.31,0.32,0.35,0.38
c_0,0.76,0.81,0.54,1.24,0.76,0.79,0.43,0.48,0.26,0.45,0.42,0.39,0.28,0.43,0.3,0.37
g_1,0.79,0.73,0.98,0.84,0.81,0.75,0.32,0.32,0.33,0.23,0.34,0.42,0.24,0.31,0.37,0.31
b_0,0.77,0.75,0.7,1.1,1.14,0.62,0.43,0.34,0.2,0.41,0.24,0.34,0.36,0.43,0.28,0.38
f_0,0.75,1.19,0.74,0.82,0.81,0.77,0.52,0.36,0.32,0.27,0.36,0.22,0.3,0.35,0.21,0.41
h_0,0.7,0.84,0.84,0.73,0.79,0.62,0.62,0.35,0.38,0.48,0.28,0.33,0.37,0.3,0.33,0.3
a_0,0.87,0.75,0.75,0.95,0.82,0.81,0.41,0.4,0.29,0.44,0.23,0.35,0.3,0.2,0.3,0.3
g_0,0.76,0.73,0.86,0.8,0.82,0.74,0.33,0.37,0.36,0.51,0.37,0.39,0.24,0.29,0.4,0.29
e_0,1.2,0.89,0.76,0.7,0.77,0.72,0.43,0.31,0.34,0.37,0.36,0.2,0.38,0.34,0.35,0.2
