,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.92,0.91,1.1,1.4,0.55,0.9,0.77,0.47,,0.76,0.57,0.7,0.56,0.42,0.49
f_1,1.09,1.0,1.33,1.22,0.85,0.79,0.58,0.85,0.61,0.62,,0.61,0.51,0.45,0.48,0.6
d_1,1.1,0.75,1.0,0.94,1.11,0.87,0.73,0.57,,0.87,0.6,0.71,0.67,0.6,0.56,0.45
e_1,0.91,0.82,1.06,1.0,0.99,0.85,0.71,0.62,0.89,0.58,0.68,0.61,0.71,,,0.59
b_1,0.72,1.18,0.9,1.01,1.0,1.22,0.94,0.76,0.88,0.71,0.58,,0.5,0.61,0.74,0.5
a_1,1.83,1.26,1.15,1.17,0.82,1.0,0.63,0.74,0.73,0.82,0.64,0.75,0.69,,,0.67
h_1,1.12,1.72,1.37,1.4,1.07,1.58,1.0,1.21,1.0,0.95,0.89,0.9,,0.47,0.64,1.08
g_1,1.3,1.17,1.74,1.61,1.31,1.36,0.83,1.0,0.98,1.03,1.25,0.92,0.7,1.13,0.79,
d_0,2.11,1.65,,1.13,1.13,1.37,1.0,1.02,1.0,1.07,1.12,0.79,0.75,,0.88,0.85
c_0,,1.61,1.15,1.71,1.41,1.21,1.05,0.97,0.93,1.0,0.91,1.32,0.93,,0.96,0.92
f_0,1.31,,1.68,1.47,1.72,1.55,1.12,0.8,0.89,1.1,1.0,1.38,0.79,1.12,,0.81
b_0,1.74,1.63,1.41,1.65,,1.34,1.11,1.08,1.27,0.76,0.72,1.0,1.18,0.81,,1.03
h_0,1.43,1.97,1.49,1.41,2.02,1.46,,1.44,1.33,1.08,1.27,0.84,,0.94,1.19,0.95
e_0,1.79,2.25,1.68,,1.65,,2.12,0.88,,,0.89,1.23,1.06,1.0,,1.05
a_0,2.4,2.06,1.79,,1.35,,1.57,1.27,1.13,1.05,,,0.84,,1.0,1.09
g_0,2.06,1.66,2.24,1.7,2.0,1.49,0.93,,1.18,1.09,1.24,0.97,1.05,0.95,0.92,
