,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.25,0.97,1.01,1.01,0.89,0.98,0.76,1.35,0.9,1.07,0.95,1.04,0.91,0.85,0.78
e_1,0.8,1.0,0.71,1.13,1.0,1.05,1.25,1.19,1.03,1.42,1.18,1.03,1.11,1.07,1.05,1.21
f_1,1.03,1.41,1.0,0.99,0.77,0.96,0.96,0.88,0.87,0.94,0.95,0.98,0.86,0.86,0.92,1.01
c_1,0.99,0.88,1.01,1.0,1.34,0.93,1.2,1.12,1.04,0.73,0.63,0.86,1.08,1.22,0.99,1.21
b_1,0.99,1.0,1.29,0.74,1.0,1.37,0.83,0.91,1.03,1.11,1.06,1.01,1.01,1.12,0.78,0.93
a_1,1.13,0.96,1.04,1.08,0.73,1.0,1.02,0.91,1.04,1.01,1.28,1.16,1.15,0.87,,0.94
h_1,1.04,0.77,1.09,0.84,1.27,0.97,1.0,1.35,1.01,0.9,0.93,1.09,1.0,1.17,0.96,1.0
g_1,1.32,0.79,1.07,0.89,1.08,1.03,0.74,1.0,0.79,0.85,0.99,1.18,0.64,0.76,1.05,0.97
c_0,0.78,0.94,1.23,1.06,1.0,0.95,0.97,1.27,1.0,1.09,1.43,0.99,1.19,1.1,1.28,1.02
d_0,1.07,0.64,1.19,1.35,0.91,0.93,1.13,1.26,0.91,1.0,0.88,1.12,1.0,1.06,1.1,1.04
b_0,0.95,0.81,1.07,1.67,0.89,0.79,1.03,0.97,0.69,1.14,1.0,0.9,0.99,0.97,1.64,0.95
f_0,1.06,0.89,1.03,1.12,1.02,0.87,0.91,0.86,1.04,0.95,1.12,1.0,1.03,0.8,1.08,1.32
h_0,0.99,0.9,1.19,0.96,0.94,0.85,1.1,1.56,0.87,0.98,0.97,0.93,1.0,1.23,0.77,1.07
g_0,1.1,0.9,1.09,0.84,0.89,1.12,0.84,1.32,0.89,0.93,0.94,1.3,0.8,1.0,1.02,1.14
a_0,1.14,0.94,1.08,1.02,1.28,,1.0,1.0,0.76,0.93,0.65,0.93,1.35,0.99,1.0,0.98
e_0,1.2,0.88,1.05,0.84,1.12,0.98,1.0,1.0,0.98,1.03,1.09,0.78,0.9,0.88,1.07,1.0
