,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.68,0.35,0.39,0.34,0.2,0.29,0.41,0.34,0.22,0.28,0.17,0.33,0.23,0.12,0.24
e_1,0.47,0.92,0.33,0.47,0.35,0.24,0.36,0.6,0.3,0.25,0.3,0.26,0.36,0.25,0.16,0.27
d_1,0.5,0.41,0.93,0.31,0.31,0.27,0.33,0.23,0.63,0.24,0.4,0.3,0.41,0.22,0.23,0.3
c_1,0.43,0.4,0.35,0.91,0.62,0.28,0.34,0.32,0.27,0.25,0.19,0.26,0.29,0.18,0.22,0.26
b_1,0.39,0.36,0.39,0.38,0.91,0.5,0.35,0.38,0.33,0.28,0.21,0.26,0.37,0.15,0.18,0.27
a_1,0.46,0.39,0.42,0.39,0.36,0.89,0.39,0.4,0.35,0.3,0.33,0.31,0.4,0.14,0.23,0.33
h_1,0.6,0.43,0.45,0.42,0.35,0.25,0.65,0.37,0.38,0.36,0.31,0.29,0.3,0.22,0.22,0.39
d_0,0.48,0.41,0.31,0.7,0.45,0.22,0.36,0.55,0.24,0.27,0.27,0.29,0.34,0.19,0.21,0.27
c_0,0.53,0.47,0.45,0.33,0.32,0.26,0.4,0.42,0.58,0.3,0.61,0.29,0.41,0.3,0.26,0.34
g_1,0.4,0.39,0.66,0.39,0.36,0.25,0.33,0.33,0.37,0.6,0.32,0.44,0.41,0.23,0.29,0.25
b_0,0.54,0.49,0.5,0.42,0.25,0.19,0.38,0.39,0.41,0.33,0.57,0.32,0.4,0.48,0.24,0.32
f_0,0.41,0.38,0.49,0.44,0.42,0.29,0.39,0.38,0.43,0.32,0.37,0.55,0.42,0.24,0.46,0.32
h_0,0.56,0.45,0.47,0.42,0.38,0.25,0.3,0.37,0.39,0.33,0.35,0.31,0.27,0.22,0.22,0.36
a_0,0.44,0.45,0.48,0.45,0.39,0.17,0.37,0.39,0.43,0.33,0.39,0.35,0.42,0.47,0.23,0.37
e_0,0.5,0.32,0.43,0.41,0.44,0.31,0.37,0.32,0.44,0.29,0.39,0.37,0.5,0.24,0.47,0.31
g_0,0.39,0.39,0.61,0.42,0.39,0.25,0.38,0.39,0.41,0.27,0.33,0.5,0.39,0.27,0.26,0.28
