,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.79,0.78,1.03,0.69,0.79,0.75,0.99,1.59,0.99,0.99,1.02,1.05,0.91,1.08,0.88,0.94
f_1,1.28,1.87,0.74,0.84,0.64,0.73,0.93,0.9,0.93,0.93,0.96,0.58,0.94,1.07,0.65,0.97
c_1,0.68,0.78,1.89,0.78,1.4,0.8,0.85,0.9,0.62,0.84,0.6,1.01,0.95,0.93,0.91,0.99
d_1,0.8,0.85,0.68,1.93,0.85,0.72,0.93,0.67,1.57,1.0,1.25,1.03,1.05,0.88,1.05,0.93
b_1,0.78,0.91,0.74,0.88,2.08,1.41,1.03,0.88,1.01,0.91,0.76,0.95,0.97,0.69,0.91,1.01
a_1,0.83,0.88,0.88,0.88,0.64,2.7,1.04,1.01,0.87,1.01,1.0,1.09,1.1,0.68,1.17,0.94
h_1,0.86,1.09,0.9,0.91,0.79,0.69,1.77,0.9,0.9,1.28,0.96,1.01,0.86,1.05,1.17,1.33
d_0,0.83,0.77,1.42,0.65,0.89,0.76,0.96,1.47,0.72,0.93,0.99,1.05,1.1,1.04,1.08,1.08
c_0,0.88,1.0,0.78,0.98,0.6,0.82,1.11,1.04,1.42,0.98,1.92,0.94,1.15,1.43,1.25,1.13
g_1,0.8,0.73,0.86,1.38,0.75,0.78,0.92,0.88,0.99,2.04,1.04,1.54,1.03,1.0,1.13,0.87
b_0,0.82,0.91,1.06,0.94,0.69,0.63,1.08,0.99,0.99,1.03,1.72,0.98,1.14,2.06,1.06,1.14
f_0,0.72,0.78,1.06,0.9,0.99,0.83,1.1,1.06,0.98,1.03,1.11,1.8,1.18,1.12,2.17,1.05
h_0,0.8,1.17,0.93,0.94,0.84,0.72,0.81,0.91,0.92,1.15,1.07,1.0,0.94,1.18,1.04,1.33
a_0,0.85,1.04,0.87,0.95,0.83,0.62,1.15,0.95,0.98,1.1,1.12,1.07,1.32,1.98,1.07,1.13
e_0,0.71,1.0,0.87,0.91,0.81,0.9,1.21,0.91,0.96,1.06,1.14,1.06,1.11,1.34,2.0,1.15
g_0,0.74,0.82,0.82,1.18,0.86,0.72,1.08,0.82,1.02,1.06,1.08,1.54,1.01,1.24,1.34,0.96
