,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.66,5.14,5.69,6.37,6.98,3.68,3.17,2.8,1.26,,2.6,2.4,1.89,2.11,1.45,1.34
f_1,6.07,0.66,7.67,6.18,4.95,5.57,1.77,3.42,2.04,1.98,,1.9,1.33,1.79,1.65,1.99
d_1,6.93,4.34,0.66,6.44,7.23,6.13,2.54,1.78,,2.26,1.83,2.06,2.12,2.3,1.97,1.14
e_1,5.29,4.16,7.3,0.65,6.1,5.56,2.79,2.4,2.31,2.35,2.29,2.09,1.8,,,1.54
b_1,3.58,6.83,5.91,6.16,0.64,6.66,3.76,3.05,2.95,2.48,1.76,,1.35,1.88,2.84,1.64
a_1,12.29,8.82,8.06,7.61,4.5,0.57,2.59,2.9,2.41,3.21,2.03,2.93,1.91,,,2.18
h_1,3.95,5.23,4.79,5.48,4.3,6.44,0.61,2.62,2.05,1.82,1.79,1.89,,0.97,1.3,1.79
g_1,4.74,4.69,5.4,6.19,5.25,5.36,1.79,0.59,2.01,2.09,2.41,1.96,1.22,2.39,1.78,
d_0,5.6,5.54,,2.93,3.78,4.49,2.04,2.09,0.71,2.09,2.14,1.37,1.2,,1.69,1.28
c_0,,5.12,3.0,6.89,4.93,4.72,2.02,1.96,1.82,0.68,1.56,1.99,1.44,,1.82,1.4
f_0,4.48,,5.15,4.91,5.18,4.88,2.26,1.55,1.69,1.9,0.67,2.69,1.45,1.88,,1.25
b_0,7.26,5.03,4.1,5.67,,5.25,2.32,2.29,2.19,1.14,1.41,0.68,1.69,1.43,,1.82
h_0,3.9,5.14,4.71,3.55,5.47,4.07,,2.51,2.13,1.68,2.33,1.2,,1.51,1.82,1.3
e_0,6.79,9.03,6.47,,5.1,,4.35,1.87,,,1.49,2.19,1.71,0.59,,1.88
a_0,8.3,7.02,6.27,,5.15,,3.22,2.84,2.16,1.99,,,1.28,,0.62,1.61
g_0,5.64,5.48,5.7,4.46,6.54,4.83,1.54,,1.77,1.66,1.9,1.71,1.44,1.7,1.36,
