,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.66,1.16,0.99,1.05,0.95,0.86,0.37,0.38,0.45,0.37,0.49,0.37,0.25,0.37,0.29,0.38
e_1,0.75,0.66,1.34,0.99,1.06,1.02,0.49,0.49,0.5,0.37,0.48,0.38,0.35,0.46,0.42,0.31
c_1,1.19,0.89,0.64,1.35,1.25,0.88,0.44,0.28,0.49,0.44,0.39,0.35,0.33,0.34,0.35,0.32
d_1,1.19,1.26,1.04,0.63,1.08,0.95,0.52,0.56,0.35,0.47,0.4,0.44,0.34,0.35,0.35,0.23
b_1,1.36,1.26,0.76,1.3,0.61,1.32,0.58,0.46,0.61,0.53,0.41,0.55,0.39,0.4,0.45,0.35
a_1,1.61,1.38,1.33,1.39,0.76,0.57,0.7,0.55,0.65,0.57,0.45,0.58,0.42,0.46,0.66,0.39
h_1,2.05,1.71,1.9,1.66,1.7,1.54,0.54,0.6,0.81,0.59,0.6,0.66,0.55,0.52,0.59,0.52
d_0,1.88,1.29,2.46,2.33,1.71,1.55,0.97,0.58,0.95,0.7,0.75,0.8,0.57,0.61,0.64,0.73
g_1,2.06,1.82,1.85,1.91,1.86,1.8,0.68,0.73,0.53,0.57,0.77,0.64,0.48,0.63,0.69,0.57
c_0,2.15,2.0,2.8,1.23,2.11,1.91,0.96,0.85,0.94,0.56,0.68,0.97,0.63,0.7,0.74,0.54
f_0,2.67,1.8,2.08,1.81,1.99,1.89,0.98,0.73,0.62,0.68,0.55,0.73,0.6,0.76,0.69,0.41
b_0,2.21,2.07,2.98,1.64,2.48,1.72,0.93,0.74,0.83,0.42,0.68,0.54,0.57,0.62,0.77,0.55
h_0,2.44,2.1,2.14,2.1,1.98,1.88,1.22,0.82,0.95,0.76,0.72,0.77,0.72,0.64,0.65,0.61
e_0,3.14,2.51,2.53,2.14,2.44,2.12,1.23,0.94,0.94,0.73,0.51,0.82,0.69,0.52,0.78,0.61
a_0,2.83,2.31,2.62,2.34,2.49,2.02,1.19,0.93,0.94,0.68,0.89,0.55,0.72,0.71,0.52,0.68
g_0,2.45,2.64,2.38,2.55,2.16,2.29,0.89,0.77,1.15,0.88,0.88,0.84,0.6,0.69,0.71,0.73
