,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.54,0.92,0.93,1.23,0.99,0.82,1.21,1.78,1.08,1.04,1.26,1.21,1.33,0.94,1.0,1.2
f_1,1.52,1.56,0.9,1.0,0.81,0.68,1.07,1.37,1.1,1.2,1.02,1.12,1.22,0.77,1.09,1.21
d_1,1.03,1.18,1.58,0.83,0.95,0.79,1.18,1.02,0.99,1.82,1.1,1.32,1.26,1.08,1.1,1.15
c_1,0.9,1.01,1.01,1.58,1.49,0.91,1.21,1.02,0.98,0.87,1.16,0.81,1.25,0.93,0.86,1.24
b_1,1.0,1.12,1.07,0.91,1.62,1.51,1.17,1.12,1.16,1.2,1.11,0.95,1.34,1.05,0.85,1.18
a_1,1.17,1.27,1.09,1.14,0.89,1.75,1.33,1.45,1.17,1.18,1.28,1.29,1.48,1.26,1.03,1.23
h_1,1.23,1.56,1.32,1.22,1.16,0.88,1.86,1.32,1.78,1.36,1.41,1.33,1.36,1.21,1.29,1.72
d_0,1.09,1.15,1.13,1.87,1.43,1.01,1.61,1.82,1.47,1.09,1.42,1.32,1.57,1.34,1.43,1.6
g_1,1.24,1.18,1.69,1.29,1.22,1.1,1.3,1.22,1.92,1.51,1.86,1.25,1.37,1.39,1.22,1.28
c_0,1.4,1.37,1.21,1.25,0.99,1.12,1.63,1.84,1.47,1.86,1.62,2.38,1.69,1.34,1.8,1.68
f_0,1.14,1.16,1.42,1.45,1.39,1.17,1.63,1.55,1.54,1.55,1.86,1.51,1.67,2.25,1.43,1.46
b_0,1.35,1.41,1.26,1.57,1.14,0.77,1.71,1.71,1.63,1.26,1.51,1.9,1.72,1.45,2.34,1.7
h_0,1.25,1.6,1.46,1.32,1.31,1.16,1.48,1.67,1.9,1.52,1.58,1.46,1.57,1.33,1.34,1.83
e_0,1.16,1.56,1.45,1.48,1.28,1.09,1.8,1.63,1.8,1.71,1.36,1.53,2.02,1.98,1.82,1.73
a_0,1.48,1.38,1.47,1.46,1.43,1.05,1.81,1.69,1.73,1.58,1.56,1.32,1.69,1.22,1.93,1.63
g_0,1.23,1.32,1.84,1.23,1.36,1.16,1.5,1.43,1.55,1.73,2.05,1.5,1.59,1.51,1.52,1.59
