,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.34,0.84,0.99,1.01,0.83,0.96,0.91,0.93,1.16,1.09,1.0,0.88,0.82,0.85,1.04
e_1,0.75,1.0,1.04,1.01,0.96,1.15,1.01,0.98,1.35,1.13,1.02,1.18,1.07,1.06,1.05,1.13
d_1,1.19,0.97,1.0,0.88,0.91,0.91,1.11,1.28,0.92,0.75,1.0,1.04,1.04,1.03,1.09,0.89
c_1,1.01,0.99,1.13,1.0,1.46,0.85,0.9,0.86,0.71,0.92,0.81,1.01,1.03,0.93,1.0,0.77
b_1,0.99,1.04,1.1,0.69,1.0,1.46,1.12,0.98,1.06,1.14,1.09,0.87,0.81,1.13,0.85,1.15
a_1,1.2,0.87,1.1,1.18,0.69,1.0,1.16,1.05,1.08,0.95,1.01,0.91,0.87,1.05,1.19,1.07
h_1,1.1,0.97,0.9,1.09,0.9,0.89,1.0,1.03,0.98,1.34,1.01,1.01,1.01,1.15,0.94,1.06
c_0,1.12,1.06,0.76,1.17,0.99,0.95,1.0,1.0,1.06,1.05,1.41,0.9,1.19,0.99,0.97,1.02
d_0,1.1,0.71,1.18,1.51,0.95,0.94,0.97,0.91,1.0,1.07,1.04,1.12,0.84,0.94,1.16,1.06
g_1,0.84,0.85,1.38,1.11,0.92,1.01,0.75,0.91,0.94,1.0,0.95,1.2,1.03,0.98,0.94,1.02
b_0,0.89,0.96,0.97,1.25,1.05,0.98,0.94,0.72,1.0,1.12,1.0,1.08,1.51,1.02,0.92,1.0
f_0,0.95,0.89,0.98,1.0,1.2,1.06,1.01,1.09,0.92,0.79,0.91,1.0,0.97,1.07,1.44,0.85
a_0,1.19,0.9,1.0,0.94,1.18,1.19,0.99,0.87,1.24,0.89,0.67,0.97,1.0,1.15,1.07,1.16
h_0,1.25,0.91,0.94,1.16,0.87,0.92,0.84,0.96,1.08,1.0,1.01,0.94,0.87,1.0,0.91,1.21
e_0,1.25,1.0,0.88,0.95,1.05,0.9,1.11,1.05,0.89,1.06,1.09,0.67,1.04,1.07,1.0,1.06
g_0,0.99,0.95,1.07,1.35,0.83,0.96,0.96,0.89,0.92,1.0,0.97,1.1,0.87,0.81,0.91,1.0
