,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.55,1.47,0.87,0.97,0.94,0.82,1.09,1.13,1.34,1.09,1.25,0.86,0.95,1.09,0.72,1.04
e_1,0.95,1.55,0.93,1.21,1.0,0.78,1.18,1.14,1.79,1.14,1.19,1.18,1.06,1.24,0.92,1.21
d_1,1.19,1.02,1.6,0.81,0.91,0.8,1.25,1.76,0.97,1.01,1.38,1.19,1.19,1.32,1.12,1.2
c_1,1.03,0.89,1.01,1.59,1.52,0.89,1.09,1.02,1.02,1.02,0.88,1.17,1.03,1.27,1.03,1.05
b_1,1.07,0.98,1.05,0.93,1.61,1.43,1.17,1.17,1.08,1.13,1.06,1.16,0.93,1.37,1.1,1.28
a_1,1.26,1.12,1.14,1.07,0.86,1.73,1.4,1.34,1.29,1.24,1.42,1.25,1.13,1.41,1.16,1.32
h_1,1.59,1.3,1.23,1.19,1.06,0.98,1.89,1.43,1.5,1.54,1.53,1.39,1.36,1.43,1.24,1.66
c_0,1.41,1.33,1.26,1.18,1.04,1.04,1.58,1.85,1.54,1.47,2.19,1.4,1.73,1.58,1.35,1.6
d_0,1.25,1.15,1.13,1.97,1.33,0.99,1.41,1.23,1.83,1.44,1.39,1.44,1.38,1.55,1.22,1.53
g_1,1.28,1.1,1.72,1.28,1.2,1.07,1.44,1.6,1.33,1.95,1.44,1.97,1.34,1.44,1.35,1.49
b_0,1.34,1.38,1.3,1.47,1.03,0.98,1.52,1.46,1.71,1.5,1.86,1.48,2.1,1.6,1.22,1.53
f_0,1.43,1.13,1.35,1.39,1.35,1.14,1.55,1.56,1.56,1.26,1.43,1.93,1.38,1.65,2.36,1.52
a_0,1.56,1.36,1.41,1.3,1.22,1.01,1.64,1.62,1.65,1.39,1.56,1.51,1.93,1.85,1.4,1.78
h_0,1.67,1.39,1.46,1.39,1.22,1.17,1.25,1.62,1.64,1.72,1.67,1.45,1.37,1.47,1.4,1.83
e_0,1.7,1.13,1.32,1.4,1.39,1.28,1.64,1.64,1.63,1.63,1.75,1.31,1.48,1.9,1.97,1.64
g_0,1.46,1.28,1.84,1.4,1.21,1.14,1.6,1.74,1.55,1.28,1.57,1.83,1.41,1.62,1.66,1.48
