,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.43,0.78,0.48,0.45,0.27,0.55,0.51,0.5,0.5,0.58,0.19,0.42,0.4,0.29,0.53
d_1,0.57,1.53,0.38,0.4,0.43,0.36,0.61,0.22,0.48,0.95,0.51,0.51,0.65,0.54,0.5,0.5
e_1,0.41,0.48,1.52,0.49,0.44,0.45,0.48,0.98,0.51,0.52,0.55,0.53,0.64,0.42,0.27,0.53
c_1,0.49,0.51,0.45,1.55,0.68,0.42,0.42,0.47,0.57,0.24,0.45,0.53,0.61,0.49,0.34,0.58
b_1,0.46,0.58,0.46,0.36,1.6,0.65,0.63,0.56,0.44,0.52,0.22,0.48,0.68,0.38,0.49,0.59
a_1,0.63,0.55,0.47,0.46,0.44,1.72,0.57,0.63,0.59,0.59,0.48,0.58,0.64,0.21,0.58,0.52
h_1,0.89,0.61,0.78,0.9,0.59,0.56,1.69,0.71,0.94,0.89,0.9,0.81,0.68,0.71,0.76,0.95
d_0,0.76,0.52,0.57,1.32,0.64,0.67,0.99,1.49,0.59,0.78,1.05,0.87,0.87,0.69,0.75,0.92
g_1,0.74,1.02,0.65,0.72,0.74,0.47,0.76,1.07,1.77,0.75,0.97,1.24,1.0,0.77,0.88,0.58
c_0,0.92,0.57,0.96,0.5,0.61,0.59,0.96,1.1,0.82,1.55,1.71,0.96,1.21,0.76,0.83,0.86
b_0,0.84,0.85,0.78,0.95,0.37,0.59,0.92,0.95,0.81,0.74,1.54,0.78,1.14,1.3,0.92,0.84
f_0,0.68,0.81,0.69,0.88,0.85,0.62,0.85,1.11,0.77,0.99,0.94,1.59,0.92,0.86,1.37,0.75
h_0,1.25,0.82,0.68,0.76,0.66,0.61,0.62,0.96,0.94,0.75,0.94,0.98,0.59,0.67,0.85,1.18
a_0,0.84,0.86,0.88,0.89,0.72,,1.03,1.17,0.77,1.15,0.82,1.04,1.31,1.69,0.71,1.01
e_0,1.29,0.87,0.34,1.03,0.56,0.59,1.11,0.99,0.82,1.1,0.95,0.85,1.19,1.24,1.72,0.97
g_0,0.79,1.17,0.72,0.83,0.72,0.72,0.85,0.85,0.55,0.97,1.15,1.39,0.72,0.87,0.98,0.67
