,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.44,0.67,0.67,0.82,0.84,0.77,1.48,1.37,2.82,1.57,1.69,1.81,2.2,1.62,0.92,2.28
d_1,0.8,2.49,0.81,0.7,0.75,0.65,1.87,1.34,0.94,2.63,1.87,1.62,1.65,1.79,1.75,1.92
f_1,1.11,0.69,2.48,0.79,0.77,0.82,1.16,1.35,1.46,1.65,1.57,1.01,1.97,2.08,1.56,2.2
c_1,0.8,0.77,0.87,2.58,1.23,0.57,1.45,1.42,1.45,0.69,1.29,1.28,2.16,1.89,1.6,1.75
b_1,0.74,0.82,0.78,0.62,2.67,1.35,1.72,1.69,1.74,1.83,0.64,1.52,2.11,1.22,1.66,1.96
a_1,0.73,0.93,0.62,0.87,0.59,3.21,1.33,1.71,1.73,1.9,1.88,2.06,2.51,0.73,1.8,2.61
h_1,0.97,0.81,1.41,1.04,0.75,1.18,3.95,2.22,2.18,2.24,2.39,2.33,1.75,2.09,2.13,3.14
g_1,0.92,1.43,0.97,1.04,0.9,0.76,1.92,4.04,1.75,2.09,2.11,3.21,2.6,2.16,2.48,1.25
d_0,0.79,0.55,1.18,1.72,0.96,0.95,1.88,2.23,3.67,2.09,2.51,2.36,3.2,2.29,2.71,2.55
c_0,1.22,0.98,1.14,0.66,0.88,0.97,1.9,2.2,2.07,3.62,3.83,2.55,2.88,2.68,2.71,2.46
b_0,0.93,1.07,1.21,1.28,0.7,0.95,1.78,2.17,2.12,1.86,3.91,2.52,2.58,3.43,2.29,2.59
f_0,0.97,1.31,0.68,1.08,0.89,1.1,2.22,1.61,2.37,2.16,2.24,4.11,3.31,2.38,4.47,2.62
h_0,0.75,1.35,1.31,1.02,1.04,0.72,1.28,2.2,2.08,1.97,2.02,2.14,1.77,2.15,2.27,3.44
a_0,0.94,0.85,0.94,1.24,1.32,0.56,2.19,2.3,2.17,1.75,2.63,2.89,3.02,4.51,2.54,2.9
e_0,0.48,1.18,1.26,1.17,0.97,0.8,2.36,1.93,2.46,2.3,2.65,1.86,3.42,2.87,4.89,3.43
g_0,0.9,1.38,0.98,1.21,0.88,0.89,1.76,,2.12,2.5,2.53,3.21,2.74,2.41,1.82,1.91
