,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.09,1.61,1.86,1.21,1.29,1.58,6.07,13.63,8.07,5.59,8.24,8.36,10.03,8.8,5.49,10.36
f_1,2.58,6.35,1.38,1.66,1.25,1.23,4.87,6.11,6.64,5.25,6.81,3.51,11.14,8.65,4.71,10.93
c_1,1.3,1.39,6.39,1.45,2.97,1.3,5.03,6.66,2.59,4.74,4.66,7.72,10.71,7.77,7.28,11.1
d_1,1.68,1.44,1.29,6.45,1.79,1.36,5.25,3.27,12.48,6.08,8.5,7.65,11.21,6.3,7.33,9.99
b_1,1.32,1.79,1.43,1.5,7.54,2.97,5.4,5.77,7.71,5.23,2.74,6.77,10.24,5.78,6.72,9.91
a_1,1.51,1.74,1.51,1.79,1.13,9.9,6.83,7.55,6.05,5.28,7.5,8.22,11.39,3.62,9.85,10.4
h_1,1.72,2.56,1.87,2.02,1.68,1.53,16.46,7.83,8.54,9.64,8.01,8.74,8.61,8.07,11.05,17.42
d_0,1.78,1.89,3.6,1.09,1.79,1.87,6.17,15.7,6.65,6.35,9.52,9.96,14.55,8.45,10.5,13.62
c_0,2.0,2.42,1.37,2.01,1.05,1.98,6.94,8.89,16.11,6.82,18.65,8.04,15.77,12.06,11.74,14.34
g_1,1.73,1.34,1.92,3.22,1.47,1.87,6.29,7.45,8.8,20.06,9.25,13.58,12.78,7.3,9.69,7.59
b_0,1.89,1.96,2.21,2.06,1.08,1.37,7.56,9.08,9.8,7.22,19.71,8.85,14.43,19.96,10.38,14.43
f_0,1.48,1.28,2.29,1.94,2.15,1.79,7.13,9.9,8.36,7.84,9.48,19.39,13.47,9.19,20.04,13.02
h_0,1.61,2.71,2.17,1.99,1.81,1.76,4.23,8.19,7.79,8.49,9.69,7.89,9.8,10.19,9.6,17.66
a_0,1.83,1.97,2.02,2.07,1.92,1.13,7.53,9.02,7.91,8.28,8.83,9.55,18.93,24.68,9.22,14.11
e_0,0.93,2.32,1.93,2.02,2.02,1.8,8.73,8.02,9.9,7.24,10.15,9.72,14.64,10.46,25.84,14.37
g_0,1.42,1.7,1.92,2.86,2.02,1.61,7.35,6.51,8.63,5.77,8.94,14.14,10.93,11.54,12.53,11.05
